Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Hokkaido,2020,56,1651485,7,4469400,1,148000,4,17210,12,4634610,1,2070000,1,25000,,,70,8381095
Tohoku,2020,209,2446077,8,11299000,,,4,74150,12,11373150,2,2750000,8,193600,,,231,16762827
Tokyo,2020,164,9878012,,,,,10,58360,10,58360,1,8212000,5,50770,,,180,18199142
Chubu,2020,197,5462750,,,,,1,400,1,400,1,3617000,5,87500,,,204,9167650
Hokuriku,2020,131,1934160,5,4564700,,,1,288,6,4564988,1,1746000,4,4000,,,142,8249148
Kansai,2020,151,8235375,9,14461000,1,105400,,,10,14566400,3,6578000,3,11000,,,167,29390775
Chugoku,2020,92,2904955,8,6915000,,,3,36050,11,6951050,1,820000,2,6000,,,106,10682005
Shikoku,2020,57,1152896,4,3391000,,,,,4,3391000,1,890000,1,2042,,,63,5435938
Kyushu,2020,143,3584051,8,9617000,3,3300,28,391940,39,10012240,2,4140000,6,212250,,,190,17948541
Okinawa,2020,0,0,5,1629000,5,326000,13,189880,23,2144880,,,5,2315,,,28,2147195
Hokkaido,2019,56,1651485,7,4469400,1,148000,4,17210,12,4634610,1,2070000,2,26000,,,71,8382095
Tohoku,2019,209,2446077,8,11249000,0,0,4,82150,12,11331150,2,2750000,8,193600,,,231,16720827
Tokyo,2019,164,9874007,,,,,10,56860,10,56860,1,8212000,5,50770,,,180,18193637
Chubu,2019,197,5459260,,,,,1,400,1,400,1,3617000,4,38500,,,203,9115160
Hokuriku,2019,131,1931960,5,4564700,,,1,288,6,4564988,1,1746000,4,4000,,,142,8246948
Kansai,2019,151,8234375,9,15661000,1,105400,0,0,10,15766400,3,6578000,3,11000,,,167,30589775
Chugoku,2019,92,2904945,9,7765000,,,3,36050,12,7801050,1,820000,2,6000,,,107,11531995
Shikoku,2019,57,1152496,4,3391000,,,,,4,3391000,1,890000,1,2042,,,63,5435538
Kyushu,2019,143,3580051,8,9587000,3,3300,29,396550,40,9986850,2,4140000,6,206050,,,191,17912951
Okinawa,2019,0,0,5,1629000,5,326000,13,189880,23,2144880,,,5,2315,,,28,2147195
Hokkaido,2018,56,1650155,7,4469400,1,148000,4,17210,12,4634610,1,2070000,2,26000,,,71,8380765
Tohoku,2018,209,2446077,8,11349000,,,4,82150,12,11431150,2,2750000,8,193600,,,231,16820827
Tokyo,2018,164,9873410,13,41101000,,,10,59740,23,41160740,2,12612000,5,50770,,,194,63696920
Chubu,2018,197,5459260,9,24375400,,,1,400,10,24375800,1,3617000,4,38500,,,212,33490560
Hokuriku,2018,131,1928510,5,4824700,,,1,288,6,4824988,1,1746000,4,4000,,,142,8503498
Kansai,2018,152,8228445,11,19336000,1,105400,,,12,19441400,3,6578000,0,0,,,167,34247845
Chugoku,2018,97,2909255,9,7765000,,,3,37250,12,7802250,1,820000,2,6000,,,112,11537505
Shikoku,2018,57,1150996,4,3391000,,,,,4,3391000,1,890000,1,2042,,,63,5434038
Kyushu,2018,143,3579851,9,9962000,3,3300,30,391750,42,10357050,2,4699000,7,209050,,,194,18844951
Okinawa,2018,0,0,5,1629000,5,326000,13,189860,23,2144860,,,5,2315,,,28,2147175
Hokkaido,2017,56,1648355,6,3900000,1,148000,4,17210,11,4065210,1,2070000,2,26000,,,70,7809565
Tohoku,2017,209,2445907,8,11599000,,672000,4,82150,12,12353150,2,3274000,8,193600,,,231,18266657
Tokyo,2017,164,9872250,13,41101000,,,10,54360,23,41155360,2,12612000,5,51670,,,194,63691280
Chubu,2017,197,5458940,10,25470400,,,1,400,11,25470800,1,3617000,4,38500,,,213,34585240
Hokuriku,2017,131,1928310,5,4400000,,,1,288,6,4400288,1,1746000,4,4000,,,142,8078598
Kansai,2017,152,8226445,11,19325000,1,105400,,,12,19430400,3,6578000,0,0,,,167,34234845
Chugoku,2017,99,2910155,9,7765000,,,3,36800,12,7801800,1,820000,2,6000,,,114,11537955
Shikoku,2017,57,1150396,4,3736000,,,,,4,3736000,1,1456000,1,2042,,,63,6344438
