Company,Year_term,Total_Number of  locations,Total Contract Power_allocation (kW)
会社名,年期,合計_地点数,合計_契約電力_配分
Hokkaido,1996,98,562580
Tohoku,1996,378,4127643
Tokyo,1996,1263,11369545
Chubu,1996,715,2585180
Hokuriku,1996,158,2013778
Kansai,1996,608,2868654
Chugoku,1996,396,3076539
Shikoku,1996,167,753763
Kyushu,1996,411,2233302
Okinawa,1996,16,283010
Hokkaido,1995,65,548861
Tohoku,1995,233,3960959
Tokyo,1995,652,10868045
Chubu,1995,350,2585180
Hokuriku,1995,113,2012212
Kansai,1995,299,2378916
Chugoku,1995,230,3211747
Shikoku,1995,37,750300
Kyushu,1995,202,2229130
Okinawa,1995,11,282634
Hokkaido,1994,49,552658
Tohoku,1994,160,3437569
Tokyo,1994,321,10290825
Chubu,1994,149,2480980
Hokuriku,1994,80,1982490
Kansai,1994,132,2107484
Chugoku,1994,151,2816712
Shikoku,1994,48,655340
Kyushu,1994,111,2222025
Okinawa,1994,4,282602
Hokkaido,1993,45,556491
Tohoku,1993,124,2928838
Tokyo,1993,182,9705267
Chubu,1993,60,2479030
Hokuriku,1993,75,1981636
Kansai,1993,57,2082173
Chugoku,1993,121,2777571
Shikoku,1993,36,655233
Kyushu,1993,78,2141981
Okinawa,1993,3,282600
Hokkaido,1992,41,556008
Tohoku,1992,118,2919800
Tokyo,1992,166,9272937
Chubu,1992,59,2479235
Hokuriku,1992,74,1988333
Kansai,1992,44,2009279
Chugoku,1992,119,2747571
Shikoku,1992,36,655213
Kyushu,1992,71,2106903
Okinawa,1992,3,282600
Hokkaido,1991,38,538106
Tohoku,1991,116,2914530
Tokyo,1991,155,11119891
Chubu,1991,55,2478330
Hokuriku,1991,69,1985520
Kansai,1991,39,1974300
Chugoku,1991,118,2779171
Shikoku,1991,35,654210
Kyushu,1991,63,3856893
Okinawa,1991,3,282600
Hokkaido,1990,39,538106
Tohoku,1990,121,2898020
Tokyo,1990,149,8247451
Chubu,1990,61,2431499
Hokuriku,1990,69,1983750
Kansai,1990,35,1925560
Chugoku,1990,114,2727371
Shikoku,1990,35,700210
Kyushu,1990,61,2127893
Okinawa,1990,3,282600
Hokkaido,1989,41,538141
Tohoku,1989,117,2876344
Tokyo,1989,145,8246631
Chubu,1989,58,2416676
Hokuriku,1989,69,1983750
Kansai,1989,35,1925560
Chugoku,1989,113,2625911
Shikoku,1989,34,561210
Kyushu,1989,58,1746493
Okinawa,1989,3,282633
Hokkaido,1988,40,534741
Tohoku,1988,117,2855284
Tokyo,1988,145,8185681
Chubu,1988,56,2415876
Hokuriku,1988,66,1976320
Kansai,1988,34,1913060
Chugoku,1988,112,2642616
Shikoku,1988,36,559210
Kyushu,1988,56,1759013
Okinawa,1988,,282600
Hokkaido,1987,41,532771
Tohoku,1987,114,2720934
Tokyo,1987,141,7807521
Chubu,1987,56,2517176
Hokuriku,1987,63,1861970
Kansai,1987,31,1890410
Chugoku,1987,112,2633142
Shikoku,1987,33,558610
Kyushu,1987,55,1829850
Okinawa,1987,,282600
Hokkaido,1986,39,760581
Tohoku,1986,111,2648214
Tokyo,1986,142,8027021
Chubu,1986,59,2509944
Hokuriku,1986,69,1960030
Kansai,1986,30,1838910
Chugoku,1986,112,2642612
Shikoku,1986,33,567110
Kyushu,1986,53,1718440
Okinawa,1986,,282600
Hokkaido,1985,38,1002861
Tohoku,1985,110,2645784
Tokyo,1985,140,8022331
Chubu,1985,58,2141144
Hokuriku,1985,66,1538930
Kansai,1985,27,1464050
Chugoku,1985,112,2642370
Shikoku,1985,33,567110
Kyushu,1985,49,1660770
Okinawa,1985,,600
Hokkaido,1984,36,997901
Tohoku,1984,104,2630104
Tokyo,1984,137,8034044
Chubu,1984,55,2128544
Hokuriku,1984,63,1531350
Kansai,1984,26,1461050
Chugoku,1984,114,2714470
Shikoku,1984,32,616750
Kyushu,1984,50,1735770
Okinawa,1984,,600
Hokkaido,1983,32,998271
Tohoku,1983,106,2543104
Tokyo,1983,134,8182794
Chubu,1983,54,2117714
Hokuriku,1983,63,1690550
Kansai,1983,26,1461050
Chugoku,1983,111,2717390
Shikoku,1983,32,616750
Kyushu,1983,48,1697250
Okinawa,1983,,600
Hokkaido,1982,31,991271
Tohoku,1982,104,1986104
Tokyo,1982,132,7693864
Chubu,1982,52,2117704
Hokuriku,1982,62,1690550
Kansai,1982,25,1459150
Chugoku,1982,107,2643470
Shikoku,1982,32,616750
Kyushu,1982,45,1682150
Okinawa,1982,,
Hokkaido,1981,29,991271
Tohoku,1981,66,1894054
Tokyo,1981,125,7168169
Chubu,1981,48,2101704
Hokuriku,1981,60,1729030
Kansai,1981,25,1456650
Chugoku,1981,104,2798477
Shikoku,1981,31,571150
Kyushu,1981,44,1491250
Okinawa,1981,,
Hokkaido,1980,29,991256
Tohoku,1980,64,3409646
Tokyo,1980,122,8331374
Chubu,1980,48,2644704
Hokuriku,1980,58,1599300
Kansai,1980,24,1896650
Chugoku,1980,108,2349820
Shikoku,1980,31,571150
Kyushu,1980,42,1484250
Okinawa,1980,,
Hokkaido,1979,29,987021
Tohoku,1979,64,2553996
Tokyo,1979,118,6392924
Chubu,1979,49,2101704
