Company,year,Number of sites_- 50000 kVA,Number of sites_50000 - 350000 kVA,Number of sites_350000 - 100000 kVA,Number of sites_1000000 kVA -,Number of sites_Total,Capacity (by capacity range)_- 50000 kVA,Capacity (by capacity range)_50000 - 350000 kVA,Capacity (by capacity range)_350000 - 100000 kVA,Capacity (by capacity range)_1000000 kVA -,Capacity (by capacity range)_Total,Number of sites_- 22 kV (low voltage side),Number of sites_- 22 kV,Number of sites_22 - 55 kV (low voltage side),Number of sites_22 - 55 kV,Number of sites_66 - 77 kV (low voltage side),Number of sites_66 - 77 kV,Number of sites_110 - 154 kV (low voltage side),Number of sites_110 - 154 kV,Number of sites_187 kV (low voltage side),Number of sites_187 kV,Number of sites_220 kV (low voltage side),Number of sites_220 kV,Number of sites_275 kV (low voltage side),Number of sites_275 kV,Number of sites_500 kV (low voltage side),Number of sites_500 kV,Number of sites_Total (low voltage side),Number of sites_Total,Capacity (by voltage range)_- 22 kV,Capacity (by voltage range)_22 - 55 kV,Capacity (by voltage range)_66 - 77 kV,Capacity (by voltage range)_110 - 154 kV,Capacity (by voltage range)_187 kV,Capacity (by voltage range)_220 kV,Capacity (by voltage range)_275 kV,Capacity (by voltage range)_500 kV -,Capacity (by voltage range)_Total
会社名,年期,出力別_箇所数_50000未満,出力別_箇所数_50000以上350000未満,出力別_箇所数_350000以上1000000未満,出力別_箇所数_1000000以上,出力別_箇所数_合計,出力別_変電所出力_50000未満,出力別_変電所出力_50000以上350000未満,出力別_変電所出力_350000以上1000000未満,出力別_変電所出力_1000000以上,出力別_変電所出力_合計,電圧別_箇所数_22未満_低位電圧,電圧別_箇所数_22未満,電圧別_箇所数_22以上55以下_低位電圧,電圧別_箇所数_22以上55以下,電圧別_箇所数_66以上77以下_低位電圧,電圧別_箇所数_66以上77以下,電圧別_箇所数_110以上154以下_低位電圧,電圧別_箇所数_110以上154以下,電圧別_箇所数_187_低位電圧,電圧別_箇所数_187,箇所数_220_低位電圧,電圧別_箇所数_220,電圧別_箇所数_275_低位電圧,電圧別_箇所数_275,電圧別_箇所数_500以上_低位電圧,電圧別_箇所数_500以上,電圧別_箇所数_合計_低位電圧,電圧別_箇所数_合計,電圧別_変電所出力_22未満,電圧別_変電所出力_22以上55以下,電圧別_変電所出力_66以上77以下,電圧別_変電所出力_110以上154以下,電圧別_変電所出力_187,電圧別_変電所出力_220,電圧別_変電所出力_275,電圧別_変電所出力_500以上,電圧別_変電所出力_合計
Hokkaido,2020,336,52,9,4,401,6308350,6388200,5186000,6400000,24282550,12,,5,60,16,293,1,17,2,26,,,,5,,,36,401,22250,393100,7883800,701400,8682000,,6600000,,24282550
Tohoku,2020,343,241,36,14,634,10302800,23999500,19275000,26185000,79762300,4,0,4,38,48,487,12,79,0,0,,0,5,23,0,7,73,634,1500,529000,22015800,24266000,0,0,21250000,11700000,79762300
Tokyo,2020,604,870,92,49,1615,18721010,56956000,63901000,137930000,277508010,4,0,6,85,44,1270,5,182,0,0,0,0,10,54,0,24,69,1615,16600,850350,69384060,49657000,0,0,68300000,89300000,277508010
Chubu,2020,454,472,63,21,1010,10389700,30566800,39004000,48550000,128510500,23,3,18,72,26,801,2,84,0,0,0,0,2,40,0,10,70,1010,164000,2526400,35240500,24179600,0,0,41800000,24600000,128510500
Hokuriku,2020,150,86,20,5,261,3221438,6845000,10620000,11650000,32336438,20,5,1,33,21,182,,32,,,,,3,5,,4,45,261,88478,198000,8623960,9826000,,,7000000,6600000,32336438
Kansai,2020,1123,440,55,28,1646,16513039,36711549,37262400,66895000,157381988,,1,45,750,35,790,1,55,,1,,,7,35,,14,88,1646,700,3239250,47302438,27310900,613700,,31215000,47700000,157381988
Chugoku,2020,331,191,10,14,546,6526650,18037500,6970000,28403000,59937150,6,,2,114,28,144,8,261,,,4,17,,,,10,48,546,35000,862350,4231000,18858800,,14450000,,21500000,59937150
Shikoku,2020,147,75,15,3,240,3717500,5805500,9035000,4500000,23058000,5,3,,8,7,198,,6,,21,,,,,,4,12,240,40000,43500,7794000,221500,9709000,,,5250000,23058000
Kyushu,2020,337,253,48,12,650,7129500,20363900,28541000,23040000,79074400,11,4,,124,36,423,2,33,,,1,54,,,,12,50,650,68000,932000,23051500,3612900,,29410000,,22000000,79074400
Okinawa,2020,99,28,7,,134,1868050,2297000,3021000,,7186050,,22,,26,1,77,7,9,,,,,,,,,8,134,38050,351500,3491500,3305000,,,,,7186050
Hokkaido,2019,313,47,9,4,373,5905100,5821000,5186000,6400000,23312100,1,,2,60,13,274,1,12,2,22,,,,5,,,19,373,300,388700,7548100,500000,8275000,,6600000,,23312100
Tohoku,2019,342,240,35,14,631,10284800,24159500,18775000,26185000,79404300,4,0,4,38,48,484,12,79,0,0,0,0,5,23,0,7,73,631,1500,527000,21959800,24066000,0,0,21150000,11700000,79404300
Tokyo,2019,616,857,92,49,1614,19077510,56004000,63801000,135430000,274312510,4,0,6,87,44,1268,4,181,0,0,0,0,10,54,0,24,68,1614,16600,840850,68980060,49375000,0,0,68300000,86800000,274312510
Chubu,2019,388,460,62,21,931,9402400,29262500,38652000,48250000,125566900,1,3,12,62,23,754,2,62,,0,,0,1,40,,10,39,931,28500,2576800,34417600,22444000,0,0,41500000,24600000,125566900
Hokuriku,2019,91,88,19,5,203,2442150,6870000,10520000,11650000,31482150,,4,1,26,12,142,,23,,,,,3,4,,4,16,203,70150,177000,8145000,9490000,,,7000000,6600000,31482150
Kansai,2019,1075,438,54,28,1595,15886229,36432733,36827400,66995000,156141362,,,6,720,35,782,1,44,,1,,,7,34,,14,49,1595,,3023950,47213012,26435700,613700,,31155000,47700000,156141362
Chugoku,2019,282,182,8,14,486,5905350,16544500,5720000,28403000,56572850,,,2,104,28,121,8,238,,,4,13,,,,10,42,486,,839350,3950000,17683500,,12600000,,21500000,56572850
Shikoku,2019,123,70,13,3,209,3515200,4996000,8135000,4500000,21146200,1,2,,7,5,176,,4,,16,,,,,,4,6,209,21700,39000,7500500,205000,8130000,,,5250000,21146200
Kyushu,2019,306,243,43,12,604,6766500,19383000,26105000,23040000,75294500,1,3,,119,33,393,2,28,,,1,50,,,,11,37,604,20000,885000,22327500,3252000,,27310000,,21500000,75294500
Okinawa,2019,106,27,7,,140,1846200,2213000,3021000,,7080200,1,27,,28,7,76,,9,,,,,,,,,8,140,39700,342500,3393000,3305000,,,,,7080200
Hokkaido,2018,316,43,9,4,372,6020100,5588000,5186000,6200000,22994100,1,0,2,60,13,273,1,12,2,22,0,0,0,5,0,0,19,372,300,388700,7455100,500000,8050000,0,6600000,0,22994100
Tohoku,2018,342,240,34,14,630,10264800,24054500,17875000,26185000,78379300,4,0,4,38,47,484,12,79,,,,,5,22,0,7,72,630,1500,527000,21874800,24026000,,,20250000,11700000,78379300
Tokyo,2018,625,849,92,49,1615,19373510,55516000,63456000,135560000,273905510,4,0,6,88,43,1268,4,181,0,0,0,0,10,54,0,24,67,1615,16600,860850,68716060,49362000,0,0,68150000,86800000,273905510
Chubu,2018,392,463,61,20,936,9419400,29708500,38050000,48250000,125427900,1,5,12,63,23,756,2,62,,,,,1,40,,10,39,936,44500,2582800,34536600,22164000,,,41500000,24600000,125427900
Hokuriku,2018,91,88,19,5,203,2412150,6795000,10310000,11650000,31167150,,4,1,26,12,142,,23,,,,,3,4,,4,16,203,70150,177000,8030000,9290000,,,7000000,6600000,31167150
Kansai,2018,1072,444,54,28,1598,15642629,36816213,36853700,67095000,156407542,0,0,6,723,35,782,1,44,0,1,0,0,7,34,0,14,49,1598,0,3045350,47331492,26452000,623700,0,31255000,47700000,156407542
Chugoku,2018,284,177,8,14,483,6009850,16112300,5570000,27403000,55095150,,,2,102,27,120,6,238,,,4,13,,,,10,39,483,,828850,3941000,17345300,,12480000,,20500000,55095150
Shikoku,2018,123,70,13,3,209,3515200,4996000,8135000,4500000,21146200,1,2,,7,5,176,,4,,16,,,,,,4,6,209,21700,39000,7500500,205000,8130000,,,5250000,21146200
Kyushu,2018,300,242,43,12,597,6678500,19283000,26090000,23040000,75091500,1,3,,113,33,392,2,28,,,1,50,,,,11,37,597,20000,837000,22172500,3252000,,27310000,,21500000,75091500
Okinawa,2018,108,25,7,,140,1918200,2084000,3021000,,7023200,1,27,,28,,76,7,9,,,,,,,,,8,140,39700,336500,3342000,3305000,,,,,7023200
Hokkaido,2017,316,43,9,4,372,5986000,5543000,5186000,6200000,22915000,1,0,2,62,13,271,1,12,2,22,,,0,5,,,19,372,300,397700,7407000,500000,8010000,,6600000,,22915000
Tohoku,2017,344,239,33,14,630,10236800,24034500,17455000,25085000,76811300,4,,4,38,47,484,12,79,,,,,5,22,,7,72,630,1500,513000,21730800,23646000,,,20220000,10700000,76811300
Tokyo,2017,629,842,92,49,1612,19485510,54989000,63306000,135560000,273340510,5,,7,86,43,1266,4,182,,,,,10,54,,24,69,1612,22600,839850,68451060,49227000,,,68000000,86800000,273340510
Chubu,2017,391,465,61,20,937,9343400,29815500,38230000,47800000,125188900,1,5,13,64,23,756,2,62,,,,,1,40,,10,40,937,44500,2611800,34568600,22514000,,,40850000,24600000,125188900
Hokuriku,2017,91,88,19,5,203,2403650,6785000,10460000,11650000,31298650,,5,1,25,12,142,,23,,,,,3,4,,4,16,203,74150,177000,8017500,9430000,,,7000000,6600000,31298650
Kansai,2017,1068,445,53,29,1595,15538166,37006873,36395000,67995000,156935039,,,6,719,35,783,1,44,,1,,,7,34,,14,49,1595,,3008500,47454539,26697000,620000,,31555000,47600000,156935039
Chugoku,2017,281,175,8,14,478,5983850,15901300,5540000,27403000,54828150,,,2,97,27,120,6,238,,,4,13,,,,10,39,478,,806850,3862000,17209300,,12450000,,20500000,54828150
Shikoku,2017,123,70,13,3,209,3505200,4996000,8135000,4500000,21136200,1,2,,7,5,176,,4,,16,,,,,,4,6,209,21700,39000,7490500,20500,8130000,,,5250000,21136200
Kyushu,2017,303,240,41,12,596,6741500,19453000,25195000,23040000,74429500,1,3,,111,33,394,2,28,,,1,49,,,,11,37,596,20000,797000,22050500,3252000,,26810000,,21500000,74429500
Okinawa,2017,110,25,7,,142,1897500,2084000,3021000,,7002500,2,29,,28,7,76,,9,,,,,,,,,9,142,48000,330500,3319000,3305000,,,,,7002500
Hokkaido,2016,316,44,9,4,373,5933000,5570000,5046000,6280000,22829000,1,,2,63,13,271,1,12,2,22,,,,5,,,19,373,300,403700,7480000,360000,7985000,,6600000,,22829000
Tohoku,2016,346,237,31,14,628,10223800,23924500,16475000,25085000,75708300,4,,4,38,46,484,12,78,,,,,5,21,,7,71,628,1500,513000,21527800,23346000,,,19620000,10700000,75708300
Tokyo,2016,632,841,92,49,1614,19376260,54859000,63296000,137060000,274591260,5,,7,87,43,1267,4,182,,,,,10,54,,24,69,1614,22600,846600,68215060,49207000,,,68000000,88300000,274591260
Chubu,2016,391,466,60,21,938,9405400,29655500,37380000,48702000,125142900,1,5,14,64,23,757,3,62,,,,,1,40,,10,42,938,47500,2606800,34634600,22654000,,,40600000,24600000,125142900
Hokuriku,2016,90,88,19,5,202,2357650,6720000,10590000,11450000,31117650,,4,1,25,12,142,,23,,,,,3,4,,4,16,202,74150,171000,7892500,9380000,,,7000000,6600000,31117650
Kansai,2016,1066,444,53,28,1591,15533766,36921260,36410000,66995000,155860026,,,6,717,35,782,1,44,,1,,,7,34,,13,49,1591,,2999500,47373526,26712000,620000,,31555000,46600000,155860026
Chugoku,2016,283,171,8,14,476,6051850,15616300,5240000,27403000,54311150,,,2,95,26,120,6,238,,,4,13,,,,10,38,476,,794850,3812000,17054300,,12150000,,20500000,54311150
Shikoku,2016,123,69,13,3,208,3484200,4986000,8135000,4500000,21105200,1,2,,6,5,176,,4,,16,,,,,,4,6,208,21700,33000,7465500,205000,8130000,,,5250000,21105200
Kyushu,2016,305,237,41,12,595,6830500,19238000,25190000,23040000,74298500,1,3,,110,33,394,2,28,,,1,49,,,,11,37,595,20000,791000,21925500,3252000,,26810000,,21500000,74298500
Okinawa,2016,109,25,7,,141,1890000,2209000,3021000,,7120000,2,29,,27,8,75,,10,,,,,,,,,10,141,48000,323000,3319000,3430000,,,,,7120000
Hokkaido,2015,317,43,9,4,373,5949500,5470000,5046000,6280000,22745500,1,0,2,63,13,270,1,13,2,22,,,0,5,,,19,373,300,403700,7381500,375000,7985000,,6600000,,22745500
Tohoku,2015,347,234,32,14,627,10242800,23099500,16784000,25085000,75211300,4,0,4,39,44,483,12,77,,,,,5,21,0,7,69,627,1500,521000,21393800,22885000,,,19710000,10700000,75211300
Tokyo,2015,603,832,91,48,1574,18758100,53741000,61911000,135160000,269570100,0,0,6,85,41,1246,3,169,0,0,0,0,10,51,0,23,60,1574,0,845100,67575000,47700000,0,0,65350000,88100000,269570100
Chubu,2015,393,465,60,21,939,9436400,29851500,36780000,48702000,124769900,1,5,14,64,23,758,2,63,0,0,0,0,1,39,0,10,41,939,47500,2606800,34681600,22984000,0,0,39850000,24600000,124769900
Hokuriku,2015,90,88,19,5,202,2362950,6685000,10535000,11450000,31032950,,4,1,25,12,142,,23,,0,,0,3,4,,4,16,202,74450,171000,7857500,9330000,0,0,7000000,6600000,31032950
Kansai,2015,1061,445,53,28,1587,15435500,36938000,36480000,65995000,154848500,,,6,712,35,783,1,44,,1,,,7,34,,13,49,1587,,2976500,47315000,26782000,620000,,31555000,45600000,154848500
Chugoku,2015,283,171,8,14,476,6013850,15581300,5240000,27403000,54238150,,,2,95,27,119,6,239,,,4,13,,,,10,39,476,,780850,3738000,17069300,,12150000,,20500000,54238150
Shikoku,2015,123,69,13,3,208,3531700,4926000,8105000,4500000,21062700,1,2,,6,5,176,,4,,16,,,,,,4,6,208,21700,33000,7453000,205000,8100000,,,5250000,21062700
Kyushu,2015,305,238,41,12,596,6805500,19063000,25190000,21540000,72598500,1,3,,110,33,394,2,30,,,1,48,,,,11,37,596,20000,791000,21845500,3432000,,26510000,,20000000,72598500
Okinawa,2015,104,25,7,,136,1811500,2202000,3021000,,7034500,2,28,,24,8,74,,10,,,,,,,,,10,136,47500,290000,3267000,3430000,,,,,7034500
Hokkaido,2014,318,42,9,4,373,5931000,5415000,5046000,6280000,22672000,1,0,2,63,13,270,1,13,2,22,,,0,5,,,19,373,300,399200,7312500,375000,7985000,,6600000,,22672000
Tohoku,2014,349,229,32,14,624,10286800,22394500,16734000,24890000,74305300,4,0,4,40,43,480,12,76,,,,,5,21,0,7,68,624,1500,527000,21115800,22251000,,,19710000,10700000,74305300
Tokyo,2014,606,832,91,48,1577,18732100,53712000,61861000,135010000,269315100,0,0,6,85,41,1249,3,169,0,0,0,0,10,51,0,23,60,1577,0,851100,67514000,47650000,0,0,65200000,88100000,269315100
Chubu,2014,395,463,60,21,939,9522400,29756500,36868000,48702000,124848900,1,5,14,64,23,758,2,63,0,0,0,0,1,39,0,10,41,939,47500,2594800,34672600,23084000,0,0,39850000,24600000,124848900
Hokuriku,2014,91,87,19,5,202,2389450,6600000,9965000,11250000,30204450,,4,1,25,12,142,,23,,,,,3,4,,4,16,202,74450,178500,7791500,8960000,,,6600000,6600000,30204450
Kansai,2014,1053,445,53,28,1579,15421500,36840000,36387000,66395000,155043500,,,7,704,35,783,1,44,,1,,,7,34,,13,50,1579,,2936500,47243000,26782000,620000,,31862000,45600000,155043500
Chugoku,2014,284,168,8,14,474,6090350,15416300,5190000,27403000,54099650,,,2,93,27,119,6,239,,,4,13,,,,10,39,474,,771350,3718000,17010300,,12100000,,20500000,54099650
Shikoku,2014,123,70,12,3,208,3521700,4926000,8125000,4500000,21072700,1,2,,6,5,176,,4,,16,,,,,,4,6,208,21700,33000,7443000,205000,8120000,,,5250000,21072700
Kyushu,2014,304,236,40,12,592,6776500,18898000,24290000,21540000,71504500,1,3,0,109,33,392,2,30,0,0,1,47,0,0,0,11,37,592,20000,781000,21661500,3432000,0,25610000,0,20000000,71504500
Okinawa,2014,105,25,7,,137,1831350,2198000,3021000,,7050350,2,29,,23,8,75,,10,,,,,,,,,10,137,47350,278000,3295000,3430000,,,,,7050350
Hokkaido,2013,317,40,10,4,371,5891000,4855000,5401000,6280000,22427000,1,,3,63,13,269,1,13,2,21,,,,5,,,20,371,300,402200,7264500,375000,7785000,,6600000,,22427000
Tohoku,2013,350,227,32,14,623,10227800,22169500,16729000,24840000,73966300,4,,4,40,43,480,12,75,,,,,5,21,,7,68,623,1500,527000,20966800,22161000,,,19610000,10700000,73966300
Tokyo,2013,614,826,92,47,1579,18849100,53357000,62821000,134000000,269027100,0,0,6,88,41,1248,3,169,0,0,0,0,10,51,0,23,60,1579,0,882100,67255000,47590000,0,0,65200000,88100000,269027100
Chubu,2013,398,462,60,21,941,9597400,29646500,36648000,48702000,124593900,1,6,13,65,22,759,2,62,0,0,0,0,1,39,0,10,39,941,53500,2594800,34721600,22774000,0,0,39850000,24600000,124593900
Hokuriku,2013,91,85,19,5,200,2388450,6695000,9445000,11250000,29778450,,4,1,24,12,141,,23,,,,,3,4,,4,16,200,74450,172500,7701500,8830000,,,6400000,6600000,29778450
Kansai,2013,1053,445,54,27,1579,15352500,36595000,37087000,64995000,154029500,,,7,704,35,782,1,45,,1,,,7,34,,13,50,1579,,2936500,46929000,26382000,620000,,31562000,45600000,154029500
Chugoku,2013,281,168,8,14,471,6080350,15362300,5190000,27403000,54035650,,,2,90,28,119,6,239,,,4,13,,,,10,40,471,,761350,3718000,16956300,,12100000,,20500000,54035650
Shikoku,2013,123,70,12,3,208,3510700,5241000,7575000,4500000,20826700,1,2,,6,5,176,,4,,16,,,,,,4,6,208,21700,33000,7427000,205000,7890000,,,5250000,20826700
Kyushu,2013,304,236,40,11,591,6765500,18888000,24265000,20540000,70458500,1,3,,109,33,392,2,30,,,1,47,,,,10,37,591,20000,781000,21615500,3432000,,25610000,,19000000,70458500
Okinawa,2013,108,23,7,,138,1822450,2028000,3021000,,6871450,3,32,,23,8,73,,10,,,,,,,,,11,138,58950,266500,3116000,3430000,,,,,6871450
Hokkaido,2012,320,38,9,4,371,5913500,4990000,4991000,6280000,22174500,1,0,3,63,13,269,1,13,2,21,0,0,0,5,0,0,20,371,300,397200,7127000,355000,7695000,0,6600000,0,22174500
Tohoku,2012,350,225,31,14,620,10197800,22104500,16374000,24840000,73516300,4,,4,40,43,477,12,75,,,,,5,21,,7,68,620,1500,517000,20726800,21961000,,,19610000,10700000,73516300
