Company,year,Route length of transmission (Overhead)_- 55 kV (km),Route length of transmission (Overhead)_66 - 77 kV (km),Route length of transmission (Overhead)_110 - 154 kV (km),Route length of transmission (Overhead)_187 kV (km),Route length of transmission (Overhead)_220 kV (km),Route length of transmission (Overhead)_275 kV (km),Route length of transmission (Overhead)_500 kV - (km),Route length of transmission (Overhead)_Total (km),Route length of transmission (Undergound)_- 55 kV (km),Route length of transmission (Undergound)_66 - 77 kV (km),Route length of transmission (Undergound)_110 - 154 kV (km),Route length of transmission (Undergound)_187 kV (km),Route length of transmission (Undergound)_220 kV (km),Route length of transmission (Undergound)_275 kV (km),Route length of transmission (Undergound)_500 kV - (km),Route length of transmission (Undergound)_Total (km),Circuit length of transmission (Overhead)_- 55 kV (km),Circuit length of transmission (Overhead)_66 - 77 kV (km),Circuit length of transmission (Overhead)_110 - 154 kV (km),Circuit length of transmission (Overhead)_187 kV (km),Circuit length of transmission (Overhead)_220 kV (km),Circuit length of transmission (Overhead)_275 kV (km),Circuit length of transmission (Overhead)_500 kV - (km),Circuit length of transmission (Overhead)_Total (km),Circuit length of transmission (Underground)_- 55 kV (km),Circuit length of transmission (Underground)_66 - 77 kV (km),Circuit length of transmission (Underground)_110 - 154 kV (km),Circuit length of transmission (Underground)_187 kV (km),Circuit length of transmission (Underground)_220 kV (km),Circuit length of transmission (Underground)_275 kV (km),Circuit length of transmission (Underground)_500 kV - (km),Circuit length of transmission (Underground)_Total (km),Supports_Steel tower,Supports_RC pole,Supports_Steel pole,Supports_Wooden pole,Supports_Total
会社名,年期,電線路亘長_架空_55kV以下,電線路亘長_架空_66kV以上77kV以下,電線路亘長_架空_110kV以上154kV以下,電線路亘長_架空_187kV,電線路亘長_架空_220kV,電線路亘長_架空_275kV,電線路亘長_架空_500kV以上,電線路亘長_架空_計,電線路亘長_地中_55kV以下,電線路亘長_地中_66kV以上77kV以下,電線路亘長_地中_110kV以上154kV以下,電線路亘長_地中_187kV,電線路亘長_地中_220kV,電線路亘長_地中_275kV,電線路亘長_地中_500kV以上,電線路亘長_地中_計,回線延長_架空_55kV以下,回線延長_架空_66kV以上77kV以下,回線延長_架空_110kV以上154kV以下,回線延長_架空_187kV,回線延長_架空_220kV,回線延長_架空_275kV,回線延長_架空_500kV以上,回線延長_架空_計,回線延長_地中_55kV以下,回線延長_地中_66kV以上77kV以下,回線延長_地中_110kV以上154kV以下,回線延長_地中_187kV,回線延長_地中_220kV,回線延長_地中_275kV,回線延長_地中_500kV以上,回線延長_地中_計,鉄塔,鉄筋コンクリート柱,鉄柱,木柱,計
Hokkaido,2020,1096,3891,520,1744,0,718,98,8068,32,329,0,9,0,0,24,395,1102,5803,714,3353,0,1436,98,12506,74,612,0,22,0,0,24,732,19346,3922,22290,0,45558
Tohoku,2020,1342,7008,3800,,,2197,555,14902,55,378,48,,,3,,483,1417,11396,5983,,,4394,1110,24299,71,642,88,,,5,,806,47660,6193,4658,,58511
Tokyo,2020,487,7738,2957,0,0,1175,2542,14899,2054,3659,310,0,0,403,40,6466,528,15019,6008,0,0,2331,4698,28584,3601,6866,777,0,0,1151,79,12474,43614,6177,450,20,50261
Chubu,2020,985,5583,1780,0,0,1412,891,10651,491,698,54,0,0,110,0,1353,1283,10784,3402,0,0,2779,1782,20030,836,1303,119,0,0,204,0,2462,30168,3805,1099,0,35072
Hokuriku,2020,300,1639,786,,,241,234,3199,68,79,13,,,,,160,319,2912,1498,,,482,468,5679,68,144,25,,,,,237,9194,3227,251,,12672
Kansai,2020,4712,4193,1960,10,,1706,1674,14255,2466,1622,361,5,,95,49,4598,5330,8063,3833,20,,3305,3347,23898,4225,2729,542,10,,164,98,7768,32271,74140,956,,107367
Chugoku,2020,1613,1905,2699,,1001,,828,8046,364,67,223,,12,,,665,1765,3044,4978,,1919,,1656,13362,420,99,345,,24,,,889,20971,26544,1301,,48816
Shikoku,2020,215,1745,91,932,,,279,3262,42,77,1,1,,,,122,224,3392,172,1854,,,558,6199,52,149,2,3,,,,206,9176,2284,343,,11803
Kyushu,2020,2656,4166,810,,1616,,943,10191,323,426,1,,49,,,799,2665,7617,1431,,3109,,1885,16707,536,761,2,,110,,,1409,25116,44439,720,,70275
