Company,Year_term,Lighting_Fixed rate lighting,Lighting_Meter rate lighting A/B,Lighting_Meter rate lighting C,Lighting_Temporary lighting,Lighting_Agricultural lighting,Lighting_Public street lighting,Lighting_Total Lighting - optional contracs,Lighting_Total Lighting - optional contracs2,Lighting_Total Lighting,Power_Commercial use power - optional contracts,Power_Commercial use power,Power_Small use power_Low voltage power - optipnal contracts,Power_Small use power_Low voltage power,Power_Small use power_High voltage power A - optinal contracts,Power_Small use power_High voltage power A,Power_Small use power_Total Small use power - optional contracts,Power_Small use power_Total Small use power,Power_High voltage power B - optional contracts,Power_High voltage power B,Power_Other power services_Temporary power,Power_Other power services_Agricultural power,Power_Other power services_Construction power,Power_Other power services_Business use power,Power_Other power services_High voltage power B - optional contracts,Power_Other power services_High voltage power B,Power_Other power services_Commercial use power,Power_Other power services_High voltage power A/B,Power_Other power services_Other power services - optional contracts,Power_Other power services_Total Other power services,Power_Total Power - optional contracts,Power_Total Power,Total of Lighting and Power
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Hokkaido,201603,64789,2519391,87506,8450,,663920,286456,286456,3630512,,,961,154032,,,,,,,178,265,7,1430,,,,,243044,244924,244005,398956,4029468
Tohoku,201603,161543,4616873,236482,26182,,1358270,595665,595665,6995015,,,3152,616814,,,,,,,1320,5691,4,5009,,,,,173779,185803,176931,802617,7797632
Tokyo,201603,450237,20201693,1200044,59789,,3881515,1687674,1687674,27480952,,,479,1564674,,,,,,,4709,11747,117,63460,,,,,311933,391966,312412,1956640,29437592
Chubu,201603,252212,6411894,513185,22835,438,1556190,922645,922645,9679399,,,7949,698316,,,,,,,817,5124,2,19766,,,,,329279,354988,337228,1053304,10732703
Hokuriku,201603,41851,981696,93817,4541,,437775,348542,348542,1908222,,,3496,164510,,,,,,,234,2637,3,2894,,,,,49872,55640,53368,220150,2128372
Kansai,201603,210842,8954864,319007,21663,,1877616,1313970,1313970,12697962,,,202,793537,,,,,,,1700,7485,0,25502,,,,,170638,205325,170840,998862,13696824
Chugoku,201603,99773,3135784,58662,9005,35,699369,847233,847233,4849861,,,104,304716,,,,,,,269,2474,19,1735,,,,,132787,137284,132891,442000,5291861
Shikoku,201603,39039,1704198,41120,6302,,362066,383430,383430,2536155,,,5000,200763,,,,,,,493,11733,2,5244,,,,,108173,125645,113173,326408,2862563
Kyushu,201603,162529,5355019,229472,19628,5,979289,1197620,1197620,7943562,,,13700,647192,,,,,,,1201,24465,89,2602,,,,,151672,180029,165372,827221,8770783
Okinawa,201603,4628,711565,,2961,,78709,47798,47798,845661,1125,4448,,48889,,,,,,,100,78,0,437,,,4448,1581,4930,11574,6162,60463,906124
Hokkaido,201602,68514,2502226,87336,9439,,663708,284921,284921,3616144,,,957,154079,,,,,,,187,53,7,1421,,,,,243054,244722,244011,398801,4014945
Tohoku,201602,161053,4624429,236452,25771,,1355316,592538,592538,6995559,,,3146,617411,,,,,,,1056,3474,6,5029,,,,,193796,203361,196942,820772,7816331
Tokyo,201602,447418,20184344,1201153,65477,,3883625,1679440,1679440,27461457,,,466,1566339,,,,,,,5127,10128,135,63597,,,,,312951,391938,313417,1958277,29419734
Chubu,201602,250965,6408863,514103,25945,463,1553841,917879,917879,9672059,,,7901,699033,,,,,,,1026,4189,2,17272,,,,,331032,353521,338933,1052554,10724613
Hokuriku,201602,41694,982723,93786,5386,,437504,346692,346692,1907785,,,3477,164784,,,,,,,268,1623,3,2794,,,,,55585,60273,59062,225057,2132842
Kansai,201602,209688,8996918,319444,24151,,1876189,1316698,1316698,12743088,,,202,794675,,,,,,,2032,7411,0,25415,,,,,173103,207961,173305,1002636,13745724
Chugoku,201602,99555,3139629,58655,10191,38,698868,844257,844257,4851193,,,104,305006,,,,,,,321,2085,19,1739,,,,,133862,138026,133966,443032,5294225
Shikoku,201602,38990,1705881,41103,7113,,361966,381700,381700,2536753,,,5003,200828,,,,,,,520,11211,2,5013,,,,,108820,125566,113823,326394,2863147
Kyushu,201602,162166,5367690,229176,22714,5,976962,1193091,1193091,7951804,,,13646,647524,,,,,,,1702,23055,62,2600,,,,,152610,180029,166256,827553,8779357
Okinawa,201602,4591,709944,,3021,,78308,47639,47639,843503,1129,4445,,48951,,,,,,,102,77,0,435,,,4445,1571,4952,11582,6186,60533,904036
Hokkaido,201601,68498,2498858,87397,11086,,663592,284823,284823,3614254,,,952,154244,,,,,,,246,54,5,1429,,,,,243170,244904,244122,399148,4013402
Tohoku,201601,160603,4619624,236404,25229,,1350865,588352,588352,6981077,,,3144,618173,,,,,,,885,2874,5,5053,,,,,194200,203017,197344,821190,7802267
Tokyo,201601,445499,20174867,1201972,66434,,3881744,1670945,1670945,27441461,,,459,1568590,,,,,,,5213,10005,131,63603,,,,,314392,393344,314851,1961934,29403395
Chubu,201601,249988,6407704,514785,26700,467,1553079,914093,914093,9666816,,,7863,700177,,,,,,,1050,3350,2,14819,,,,,332234,351455,340097,1051632,10718448
Hokuriku,201601,41619,982978,93788,5624,,437236,345309,345309,1906554,,,3464,165090,,,,,,,274,1056,3,2762,,,,,56138,60233,59602,225323,2131877
Kansai,201601,209012,9011962,319896,25508,,1874888,1315893,1315893,12757159,,,202,795799,,,,,,,2189,7446,0,25354,,,,,174235,209224,174437,1005023,13762182
Chugoku,201601,99574,3141119,58655,10360,38,698391,841808,841808,4849945,0,0,104,305306,,,,,,,336,1937,19,1740,,,0,0,134553,138585,134657,443891,5293836
Shikoku,201601,39182,1707129,41125,7209,,361700,380246,380246,2536591,,,4994,201010,,,,,,,532,11220,2,4350,,,,,109385,125489,114379,326499,2863090
Kyushu,201601,162033,5371957,228892,22905,3,973365,1189166,1189166,7948321,,,13666,648049,,,,,,,1969,24463,62,2602,,,,,153407,182503,167073,830552,8778873
Okinawa,201601,4587,708169,,2991,,77992,47482,47482,841221,1118,4447,,49090,,,,,,,111,77,0,429,,,4447,1572,4974,11610,6199,60700,901921
Hokkaido,201512,68395,2503973,87423,11985,,663389,284620,284620,3619785,,,944,154452,,,,,,,434,278,8,1429,,,,,196672,198821,197616,353273,3973058
Tohoku,201512,160016,4611815,237087,29351,,1349232,583824,583824,6971325,,,3139,618735,,,,,,,881,2737,5,5053,,,,,179871,188547,183010,807282,7778607
Tokyo,201512,443759,20176481,1202552,67118,,3881379,1662818,1662818,27434107,,,454,1570354,,,,,,,5231,10090,137,63581,,,,,315343,394382,315797,1964736,29398843
Chubu,201512,248690,6407015,514887,26415,461,1552703,909195,909195,9659366,,,7808,701018,,,,,,,1055,2972,2,11579,,,,,332057,347665,339865,1048683,10708049
Hokuriku,201512,41517,983224,93809,5866,,437079,343435,343435,1904930,,,3454,165416,,,,,,,276,1023,3,2449,,,,,53794,57545,57248,222961,2127891
Kansai,201512,208350,9001816,320090,24716,,1873350,1312564,1312564,12740886,,,201,796801,,,,,,,2220,7573,0,25400,,,,,174429,209622,174630,1006423,13747309
Chugoku,201512,99582,3143448,58671,10164,39,697762,838851,838851,4848517,0,0,95,305654,,,,,,,349,2222,19,1734,,,0,0,135080,139404,135175,445058,5293575
Shikoku,201512,39113,1708588,41112,7149,,361324,378740,378740,2536026,,,4991,201127,,,,,,,524,11362,2,3705,,,,,109768,125361,114759,326488,2862514
Kyushu,201512,161850,5374159,228784,22966,21,971136,1184152,1184152,7943068,,,13665,648479,,,,,,,1677,29167,57,2604,,,,,153939,187444,167604,835923,8778991
Okinawa,201512,4550,707308,,2991,,77706,47333,47333,839888,1116,4434,,49212,,,,,,,101,78,0,428,,,4434,1569,4982,11592,6204,60804,900692
Hokkaido,201511,68399,2508651,87461,13770,,663240,284392,284392,3625913,,,922,154659,,,,,,,2936,687,7,1452,,,,,161748,166830,162670,321489,3947402
Tohoku,201511,159696,4609123,239888,28376,,1346596,575896,575896,6959575,,,3143,619695,,,,,,,1146,3481,5,5016,,,,,127121,136769,130264,756464,7716039
Tokyo,201511,441676,20173236,1203069,65905,,3880205,1653695,1653695,27417786,,,437,1571672,,,,,,,5107,10348,143,63570,,,,,316270,395438,316707,1967110,29384896
Chubu,201511,247619,6403670,515101,25558,376,1550874,904205,904205,9647403,,,7738,701671,,,,,,,963,3263,2,9406,,,,,332378,346012,340116,1047683,10695086
Hokuriku,201511,41460,984561,93853,6150,,436822,341389,341389,1904235,,,3427,165741,,,,,,,314,1581,3,2279,,,,,48113,52290,51540,218031,2122266
Kansai,201511,208013,9007262,320166,25216,,1872095,1310103,1310103,12742855,,,200,797602,,,,,,,2244,7855,0,25432,,,,,175001,210532,175201,1008134,13750989
Chugoku,201511,99483,3146041,58686,9857,28,697171,835844,835844,4847110,0,0,94,305911,,,,,,,363,5209,32,1734,,,0,0,135628,142966,135722,448877,5295987
Shikoku,201511,39107,1710094,41081,6856,,360995,377178,377178,2535311,,,4963,201148,,,,,,,503,11800,2,2801,,,,,110151,125257,115114,326405,2861716
Kyushu,201511,161909,5377101,228705,21773,151,968991,1179623,1179623,7938253,,,13646,648728,,,,,,,1302,29394,59,2604,,,,,154434,187793,168080,836521,8774774
Okinawa,201511,4553,707268,,2960,,77574,47171,47171,839526,1115,4432,,49285,,,,,,,94,79,0,429,,,4432,1565,4998,11597,6219,60882,900408
Hokkaido,201510,68401,2509922,87433,13475,,663066,284364,284364,3626661,,,888,154813,,,,,,,4201,1410,3,1497,,,,,71677,78788,72565,233601,3860262
Tohoku,201510,159636,4613513,246031,28134,,1344055,564714,564714,6956083,,,3141,620866,,,,,,,1520,5856,5,5011,,,,,118855,131247,121996,752113,7708196
Tokyo,201510,440209,20178024,1203739,61777,,3878400,1646122,1646122,27408271,,,426,1573903,,,,,,,4927,12236,150,63565,,,,,317168,398046,317594,1971949,29380220
Chubu,201510,246150,6402736,515392,23529,295,1548809,899245,899245,9636156,,,7668,702454,,,,,,,897,4096,2,7643,,,,,333637,346275,341305,1048729,10684885
Hokuriku,201510,41385,985812,93889,6166,,436968,339619,339619,1903839,,,3417,166148,,,,,,,366,5059,3,2104,,,,,43960,51492,47377,217640,2121479
Kansai,201510,207425,9007617,320118,23726,,1870797,1306590,1306590,12736273,,,201,798167,,,,,,,2213,9233,0,25450,,,,,175343,212239,175544,1010406,13746679
