Company,Year_term,Lighting_Fixed rate lighting (MWh),Lighting_Meter rate lighting A/B (MWh),Lighting_Meter rate lighting C (MWh),Lighting_Temporary power (MWh),Lighting_Agricultural power (MWh),Lighting_Public street lighting (MWh),Lighting_Total Lighting - optional contracs (MWh),Lighting_Total Lighting - optional contracs2 (MWh),Lighting_Total Lighting (MWh),Power_Commercial use power - optional contracts (MWh),Power_Commercial use power (MWh),Power_Small use power_Low voltage power - optipnal contracts (MWh),Power_Small use power_Low voltage power (MWh),Power_Small use power_High voltage power A - optinal contracts (MWh),Power_Small use power_High voltage power A (MWh),Power_Small use power_Total Small use power - optional contracts (MWh),Power_Small use power_Total Small use power (MWh),Power_High voltage power B - optional contracts (MWh),Power_High voltage power B (MWh),Power_Other power services_Temporary power (MWh),Power_Other power services_Agricultural power (MWh),Power_Other power services_Construction power (MWh),Power_Other power services_Business use power (MWh),Power_Other power services_High voltage power B - optional contracts (MWh),Power_Other power services_High voltage power B (MWh),Power_Other power services_Commercial use power (MWh),Power_Other power services_High voltage power A/B (MWh),Power_Other power services_Other power services - optional contracts (MWh),Power_Other power services_Total Other power services (MWh),Power_Total Power - optional contracts (MWh),Power_Total Power (MWh),Total of Lighting and Power (MWh),Specific scale demands (MWh),Total Electricity sales (MWh)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_小口電力計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計,特定規模需要,販売電力合計
Hokkaido,201603,3399,610152,111599,2443,,43600,314383,314383,1085576,,,4180,95403,,,,,,,106,48,40,796,,,,,241188,242178,245368,337581,1423157,1264144,2687301
Tohoku,201603,9327,1406246,257928,7383,,55622,766211,766211,2502717,,,13879,248025,,,,,,,1784,2265,6,908,,,,,92927,97890,106806,345915,2848632,4044861,6893493
Tokyo,201603,24961,5836089,1064210,18614,,176266,1600593,1600593,8720733,,,1953,713754,,,,,,,4949,2554,42,2490,,,,,115716,125751,117669,839505,9560238,11854161,21414398
Chubu,201603,13120,1819760,473742,5175,43,67606,770770,770770,3150216,,,37388,367500,,,,,,,1714,2407,1,1028,,,,,112375,117525,149763,485025,3635241,6951105,10586346
Hokuriku,201603,1966,310986,101146,1583,,19456,435500,435500,870637,,,7500,83343,,,,,,,541,1599,14,289,,,,,24012,26455,31512,109798,980435,1545423,2525858
Kansai,201603,10752,2526900,383915,5467,,76735,1145999,1145999,4149768,,,699,381588,,,,,,,1725,957,0,902,,,,,56637,60221,57336,441809,4591577,6186172,10777749
Chugoku,201603,4016,892482,87830,2199,8,29624,777949,777949,1794108,,,523,150280,,,,,,,289,1071,8,631,,,,,42512,44511,43035,194791,1988899,3046117,5035016
Shikoku,201603,1517,475388,60482,1257,,16648,329586,329586,884878,,,18611,96225,,,,,,,482,802,3,472,,,,,41580,43339,60191,139564,1024442,1254769,2279211
Kyushu,201603,7474,1417486,256572,4638,1,45035,949090,949090,2680296,,,50570,349219,,,,,,,1202,5940,14,506,,,,,55823,63485,106393,412704,3093000,3727139,6820139
