Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Hokkaido,201603,4807,2016.03.04.05
Tohoku,201603,12526,2016.03.01.19
Tokyo,201603,41911,2016.03.14.19
Chubu,201603,21186,2016.03.01.10
Hokuriku,201603,4928,2016.03.01.11
Kansai,201603,21143,2016.03.01.19
Chugoku,201603,9612,2016.03.01.10
Shikoku,201603,4323,2016.06.01.19
Kyushu,201603,13146,2016.03.01.20
Okinawa,201603,1006,2016.03.11.20
Hokkaido,201602,4995,2016.02.29.10
Tohoku,201602,12740,2016.02.02.18
Tokyo,201602,42678,2016.02.01.18
Chubu,201602,21555,2016.02.04.10
Hokuriku,201602,5106,2016.02.17.10
Kansai,201602,20739,2016.02.09.19
Chugoku,201602,9476,2016.02.16.10
Shikoku,201602,4388,2016.02.16.19
Kyushu,201602,13440,2016.02.15.19
Okinawa,201602,1115,2016.02.08.20
Hokkaido,201601,5043,2016.01.19.05
Tohoku,201601,13071,2016.01.25.18
Tokyo,201601,44497,2016.01.18.11
Chubu,201601,23390,2016.01.25.10
Hokuriku,201601,5184,2016.01.19.18
Kansai,201601,22911,2016.01.25.19
Chugoku,201601,10874,2016.01.25.10
Shikoku,201601,4811,2016.01.19.19
Kyushu,201601,15082,2016.01.25.11
Okinawa,201601,1223,2016.01.24.20
Hokkaido,201512,4736,2015.12.04.17
Tohoku,201512,12144,2015.12.17.18
Tokyo,201512,39027,2015.12.23.18
Chubu,201512,20011,2015.12.18.10
Hokuriku,201512,4737,2015.12.17.18
Kansai,201512,19983,2015.12.18.18
Chugoku,201512,9251,2015.12.18.10
Shikoku,201512,4281,2015.12.17.19
Kyushu,201512,13253,2015.12.17.19
Okinawa,201512,1049,2015.12.02.19
Hokkaido,201511,4799,2015.11.26.17
Tohoku,201511,11755,2015.11.25.17
Tokyo,201511,37767,2015.11.25.18
Chubu,201511,18860,2015.11.27.18
Hokuriku,201511,4473,2015.11.27.11
Kansai,201511,19017,2015.11.27.18
Chugoku,201511,8651,2015.11.27.10
Shikoku,201511,3941,2015.11.27.19
Kyushu,201511,11735,2015.11.27.19
Okinawa,201511,1228,2015.11.18.15
