Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Hokkaido,2015,1572629,1112860,231154,76988,219535,1827,2387,165167,92786,282137,40537,,338,94,3383,147617,147477,139,,158583,,158583,150090,38503,31744,48678,,,780,4938,25663,-218,192461,98848,51095,744,,31401,,480,3253,3283,6118,-2765,1765091
Tohoku,2015,3364414,2530785,152803,361548,267347,34886,11848,656363,251531,685610,108344,,501,1197,5559,238849,234512,4337,,144621,34729,109891,443400,75971,195250,69340,,,9508,,93479,-149,477469,145558,134925,9912,39000,50585,,326,13192,58414,27331,-1777,3841884
Tokyo,2015,11129743,6922901,442443,1082395,726934,7305,18632,1766400,699710,2054276,119758,,5045,36698,1630,783116,780521,2595,,751682,120625,631056,2633713,96285,644110,894547,,755861,122045,122392,,-1530,2059871,1208462,461341,39211,,172354,3675,5837,14918,,167878,-13807,13189615
Chubu,2015,4529098,3202836,332862,601328,173154,94,10751,751444,408718,809986,113618,,875,20227,6421,285903,284707,1196,,233879,40040,193839,779830,171462,265244,177673,,,11357,10610,144351,-870,536483,70210,173489,10321,179000,65656,,147,3394,24999,10165,-900,5065581
Hokuriku,2015,1198916,809922,101290,108703,161570,56,2620,161729,87520,154562,31736,,130,2174,10178,133436,133385,50,,108405,26219,82186,134799,53690,27816,5369,,,1506,18854,27642,-80,260060,179771,41854,2597,,15745,,4068,978,4447,10734,-137,1458977
Kansai,2015,5986124,3508625,300080,499304,390789,5666,1625,904734,401432,876047,111811,,17132,14197,7721,409289,380430,1511,27346,526291,90556,435735,1519999,174752,419953,526080,,,24932,,375015,-736,446969,76052,168628,25167,15000,65676,,1264,12639,55447,29412,-2319,6433093
Chugoku,2015,2567323,1374928,124211,188746,90103,2111,2151,327722,147572,388970,81988,21350,,153,4419,723546,708767,1297,13481,158576,7034,151541,305698,105623,42137,46057,,,22773,31214,57931,-40,272838,124712,78086,5745,,42647,5,1462,8920,7254,4440,-437,2840161
Shikoku,2015,1223734,714264,63237,67157,118262,459,484,140213,84834,210780,27794,,1040,2905,269,80383,58476,125,21781,134889,,134889,291022,52575,91736,97213,,,4290,14243,31041,-78,124926,36027,55497,1934,,17967,,271,11213,3413,1418,-2818,1348660
Kyushu,2015,3718409,2354128,278006,156336,265015,18073,13860,648615,223361,627855,117221,,5782,8759,3401,398003,372858,4274,20870,283227,69932,213295,670887,82382,188572,270095,,,7589,15575,107183,-510,603033,371424,143471,6670,,42284,1,1658,1127,25743,11198,-547,4321442
Okinawa,2015,357234,328245,,128817,,19221,547,49990,35821,79543,13283,475,545,871,912,9939,9415,523,,,,,17264,7469,3939,,,,2265,,3634,-43,27225,5042,6730,1596,,10704,,116,344,1871,907,-88,384459
Hokkaido,2014,1522920,1119334,222230,80041,239085,1826,2467,170783,79364,280664,42533,,338,100,3606,95537,95411,126,,145492,,145492,158849,43658,35829,54752,,,534,179,24150,-255,226681,138745,41220,1398,,33653,,585,3068,4705,3905,-602,1749602
