Company,Year_term,Number of sites_Electric power company's own_Hydroelectric,Number of sites_Electric power company's own_Thermal power,Number of sites_Electric power company's own_Nuclear power,Number of sites_Electric power company's own_Renewable energy,Number of sites_Electric power company's own_Total,Number of sites_Privately-owned_Hydroelectric,Number of sites_Privately-owned_Thermal power,Number of sites_Privately-owned_Nuclear power,Number of sites_Privately-owned_Renewable energy,Number of sites_Privately-owned_Other power sources,Number of sites_Privately-owned_Total,Number of sites_Total of EPCo and Privately-owned_Hydroelectric,Number of sites_Total of EPCo and Privately-owned_Thermal power,Number of sites_Total of EPCo and Privately-owned_Nuclear power,Number of sites_Total of EPCo and Privately-owned_Renewable energy,Number of sites_Total of EPCo and Privately-owned_Other power sources,Number of sites_Total of EPCo and Privately-owned_Total,Capacity in total_Electric power company's own_Hydroelectric (MW),Capacity in total_Electric power company's own_Thermal power (MW),Capacity in total_Electric power company's own_Nuclear power (MW),Capacity in total_Electric power company's own_Renewable energy (MW),Capacity in total_Electric power company's own_Total (MW),Capacity in total_Privately-owned_Hydroelectric (MW),Capacity in total_Privately-owned_Thermal power (MW),Capacity in total_Privately-owned_Nuclear power (MW),Capacity in total_Privately-owned_Renewable energy (MW),Capacity in total_Privately-owned_Other power sources (MW),Capacity in total_Privately-owned_Total (MW),Capacity in total_Total of EPCos and Privately-owned_Hydroelectric (MW),Capacity in total_Total of EPCos and Privately-owned_Thermal power (MW),Capacity in total_Total of EPCos and Privately-owned_Nuclear power (MW),Capacity in total_Total of EPCos and Privately-owned_Renewable energy (MW),Capacity in total_Total of EPCos and Privately-owned_Other power sources (MW),Capacity in total_Total of EPCos and Privately-owned_Total (MW)
Hokkaido,2015,66,13,1,,82,31,122,,,,316,97,135,1,,,398,1863,4482,2070,,8441,211,2008,,,,2864,2074,6490,2070,,,11304
Tohoku,2015,225,14,2,,250,109,227,,,,609,334,241,2,,,859,6514,12136,3274,,22168,1333,5146,,,,7692,7847,17282,3274,,,29860
Tokyo,2015,165,33,3,,207,106,721,,,,1388,271,754,3,,,1595,10534,45967,13712,,70264,1047,15846,,,,18258,11580,61812,13712,,,88522
Chubu,2015,211,10,1,,226,41,350,,,,703,252,360,1,,,929,7613,24015,3617,,35284,424,4160,,,,5464,8037,28175,3617,,,40748
Hokuriku,2015,134,6,2,,148,31,44,,,,161,165,50,2,,,309,2445,4400,2906,,9758,225,360,,,,847,2669,4760,2906,,,10605
Kansai,2015,158,18,3,,182,2,385,,,,573,160,403,3,,,755,8836,21048,8928,,38824,13,6687,,,,7326,8849,27735,8928,,,46150
Chugoku,2015,99,13,1,,115,35,202,,,,571,134,215,1,,,686,2909,9101,820,,12836,180,6812,,,,7913,3089,15912,820,,,20749
Shikoku,2015,63,6,1,,71,24,79,,,,330,87,85,1,,,401,1334,6067,2022,,9425,274,1745,,,,2595,1608,7811,2022,,,12019
Kyushu,2015,146,48,2,,213,60,235,,,,917,206,283,2,,,1130,3739,13359,4699,,22018,512,4959,,,,7271,4250,18319,4699,,,29289
Okinawa,2015,,24,,,29,2,20,,,,40,2,44,,,,69,,2465,,,2467,31,43,,,,121,31,2508,,,,2588
Hokkaido,2014,66,13,1,,80,30,122,,,,288,96,135,1,,,370,1657,4482,2070,,8235,182,2038,,,,2753,1840,6520,2070,,,10988
Tohoku,2014,228,13,2,,249,106,240,,,,598,334,253,2,,,849,6526,11865,3274,,21908,1276,7414,,,,9876,7801,19279,3274,,,31784
Tokyo,2014,165,33,3,,208,105,723,,,,1163,270,756,3,,,1368,10532,45242,13712,,69519,1045,15282,,,,17602,11576,60525,13712,,,87122
Chubu,2014,204,11,1,,215,46,354,,,,631,250,365,1,,,851,7437,25082,3617,,36174,458,4287,,,,5426,7895,29369,3617,,,41600
Hokuriku,2014,133,6,2,,147,30,42,,,,129,163,48,2,,,276,2438,4400,3263,,10109,223,339,,,,776,2661,4739,3263,,,10884
Kansai,2014,157,18,3,,180,3,384,,,,535,160,402,3,,,716,8833,21081,9768,,39693,13,6716,,,,7212,8846,27798,9768,,,46905
Chugoku,2014,98,13,1,,72,36,202,,,,451,134,215,1,,,565,2909,9101,1280,,13295,182,6808,,,,7632,3091,15909,1280,,,20928
