Company,Year_term,Electricity generated_Hydroelectric_Run-of-river (MWh),Electricity generated_Hydroelectric_With reservoir (MWh),Electricity generated_Hydroelectric_Pumped-storage (MWh),Electricity generated_Hydroelectric_Total hydroelectric (MWh),Electricity generated_Thermal power_Conventional (MWh),Electricity generated_Thermal power_Gas turbine (MWh),Electricity generated_Thermal power_Internal-combustion engine (MWh),Electricity generated_Thermal power_Total Thermal Power (MWh),Electricity generated_Nuclear power (MWh),Electricity generated_Renewable energy (MWh),Electricity generated_Other power sources (MWh),Electricity generated_Total Electricity generated (MWh),Electricity generated_Electricity purchesed_Total (MWh),Electricity generated_Electricity purchesed_Total surplus electricity (MWh),Electricity generated_Exchange among General Electricity Utilities (Net) (MWh),Electricity generated_Consumption by pumping at pumped-starage PSs_Total (MWh),Electricity generated_Grand total (MWh),Consumption in power stations_Hydroelectric (MWh),Consumption in power stations_Thermal power (MWh),Consumption in power stations_Nuclear power (MWh),Consumption in power stations_Renewable energy (MWh),Consumption in power stations_Other power sources (MWh),Consumption in power stations_Total (MWh),Electricity supply (at sending end) (MWh),Electricity supply (at user end) (MWh),Consuption at substations (MWh),Demand (MWh)
会社名,年期,供給力_水力発電所_自流式_自流式発電,供給力_水力発電所_貯水池式_貯水池式発電,供給力_水力発電所_揚水式_揚水式発電,供給力_水力発電所_揚水式_水力計,供給力_火力発電所_汽力,供給力_火力発電所_ガスタービン,供給力_火力発電所_内燃力,供給力_火力発電所_火力計,供給力_原子力発電所,供給力_新エネルギー等発電所,供給力_その他,供給力_発電計,供給力_他社受電_計,供給力_他社受電_自社余剰計,供給力_一般電気事業者間融通差引,供給力_揚水式発電所の揚水用電力_計,供給力_総合計,自社発電所所内用_水力,自社発電所所内用_火力,自社発電所所内用_原子力,自社発電所所内用_新エネルギー等,自社発電所所内用_その他,自社発電所所内用_計,送電端供給力,需要端供給力,変電所所内用,需要電力量
Hokkaido,201603,189865,19463,28378,237706,2006432,0,4707,2011139,0,12699,,2261544,566010,,,-3210,2824344,1792,117427,11293,2613,,133125,2691219,2692789,5488,2687301
Tohoku,201603,752541,38026,6110,796677,5321918,0,24284,5346202,0,84791,,6227670,1034025,,,-1552,7260143,3039,203189,20726,9849,,236803,7023340,6901519,8026,6893493
Tokyo,201603,571877,112398,147140,831415,16815858,0,13143,16829001,0,6183,,17666599,5104876,,,-220130,22551345,5346,509661,61124,332,,576463,21974882,21445528,31130,21414398
Chubu,201603,641780,,49785,691565,9760624,,0,9760624,0,4818,,10457007,777630,1,,-23920,11210718,4267,336502,19597,164,,360530,10850188,10598610,12264,10586346
Hokuriku,201603,392060,131605,0,523665,2007203,,52,2007255,0,507,,2531427,183923,,,-818,2714532,2470,112118,11751,34,,126373,2588159,2528206,2348,2525858
Kansai,201603,965249,95792,30523,1091564,7023262,13485,11,7036758,211132,1045,0,8340499,3149625,0,,-44579,11445545,5589,201170,58471,57,0,265287,11180258,10790506,12757,10777749
Chugoku,201603,323511,0,47111,370622,3054273,0,11292,3065565,0,809,0,3436996,1866850,0,,-52057,5251789,1654,154149,4737,16,0,160556,5091233,5039412,4396,5035016
Shikoku,201603,106013,51490,11258,168761,1433654,0,2,1433656,0,265,0,1602682,809822,0,,-7701,2404803,1013,72795,7447,3,0,81258,2323545,2281813,2602,2279211
Kyushu,201603,218861,30888,55924,305673,3543509,11,74486,3618006,1400063,111983,,5435725,1701097,84,,-84301,7052605,2400,130238,61921,9391,,203950,6848655,6826724,6585,6820139
