Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Hokkaido,200003,68671,385802,89086,1,15000,3630,18,974600,165663,200810,51619,21262,696552,58123,158058
Tohoku,200003,28580,238563,53822,10,24420,12542,88,2097750,612030,878020,200097,105622,305353,28961,53297
Tokyo,200003,83447,581920,111578,5,6350,1623,129,4594890,1279332,2000754,479575,230347,,,
Chubu,200003,44635,368303,61230,1,2800,636,56,1905250,782183,2544295,561517,267501,,,
Hokuriku,200003,28331,195459,35732,1,2000,1055,31,724000,207196,361669,83722,41815,80746,4393,12058
Kansai,200003,94805,396567,97079,3,5040,1936,113,3547800,861817,1274894,301417,148378,,,
Chugoku,200003,112891,729725,128451,26,29569,7211,96,2734992,775459,896224,262030,107236,,,
Shikoku,200003,19213,148155,23346,12,28590,8356,45,841000,261666,723334,182111,82603,,,
Kyushu,200003,124995,733074,120919,18,28710,9749,103,2399740,707924,1279720,272424,119435,,,
Okinawa,200003,4494,,5134,2,2920,1340,3,71500,17713,30840,5485,2460,,,
Hokkaido,200002,68081,382311,97906,1,15000,2893,18,974600,134459,199659,51309,22564,694215,57922,179023
Tohoku,200002,28037,233493,52297,10,24420,11433,88,2097750,609863,877467,200531,102639,342784,34216,46681
Tokyo,200002,82649,574711,110948,5,6350,1509,129,4594890,1193483,2001527,480479,228078,,,
Chubu,200002,43475,358798,58183,1,2800,640,56,1905250,740171,2541437,561781,243790,,,
Hokuriku,200002,27671,190932,33855,1,2000,987,31,724000,204257,362218,83958,39427,151741,8772,12861
Kansai,200002,95791,396961,93887,3,5040,1739,113,3547800,822858,1283305,304720,141586,,,
Chugoku,200002,111833,722308,128760,26,29569,6979,96,2731302,753940,897454,262571,106053,,,
Shikoku,200002,18795,145073,24178,12,28990,8375,45,841900,246317,721612,181774,85152,,,
Kyushu,200002,116461,690145,113638,18,28710,9021,102,2398740,661418,1305534,279494,115344,,,
Okinawa,200002,4473,,6000,2,2920,1300,3,71500,15828,30260,5362,2457,,,
Hokkaido,200001,67405,378101,100929,1,15000,1778,18,974600,141420,199925,51422,23374,690987,57418,152724
Tohoku,200001,27671,229882,60814,10,24420,11724,88,2097750,607004,875707,200853,118667,342091,34096,35564
Tokyo,200001,81898,568091,129606,5,6350,1492,129,4594890,1197332,2002386,480713,263542,,,
Chubu,200001,42546,351235,71198,1,2800,652,56,1902250,706767,2543895,562461,294918,,,
Hokuriku,200001,27207,187433,39861,1,2000,1048,31,724000,206084,362897,84151,47160,155647,9060,7549
Kansai,200001,95387,393029,108663,3,5040,1808,113,3547800,810066,1286493,305834,168261,,,
Chugoku,200001,110679,714490,138229,26,29569,6766,96,2736302,769313,898572,263028,115759,,,
Shikoku,200001,18346,142031,25792,12,28990,8669,45,841500,266069,719605,181329,91211,,,
Kyushu,200001,108873,651602,129830,18,28710,9062,102,2398740,711925,1329424,285624,140684,,,
Okinawa,200001,4470,,7484,2,2920,1274,3,71500,19573,29365,5171,2582,,,
Hokkaido,199912,66835,374142,80862,1,15000,2457,18,974600,154099,200782,51719,19422,574846,42701,66359
Tohoku,199912,27200,225271,44948,10,24420,12625,88,2097750,641399,875779,201188,90171,308709,29460,11399
Tokyo,199912,81338,563184,99066,5,6350,1579,129,4594890,1327875,2002970,481107,196458,,,
Chubu,199912,41637,343467,54595,1,2800,643,56,1902250,743985,2543581,562822,222386,,,
Hokuriku,199912,26762,184066,29623,1,2000,1133,31,723800,219122,363843,84407,36264,129234,6284,3145
Kansai,199912,93984,384349,78578,3,5040,1719,113,3547200,853300,1287167,306034,124938,,,
Chugoku,199912,109423,706206,108609,26,29629,7011,96,2736302,796927,898068,262954,92166,,,
Shikoku,199912,17920,138986,19232,12,28990,8824,45,841500,268032,716446,180665,69678,,,
Kyushu,199912,102809,619428,93579,18,28710,9552,104,2403140,738097,1344022,289342,108328,,,
Okinawa,199912,4469,,7126,2,2920,1113,3,71500,22436,28098,4903,1969,,,
Hokkaido,199911,65829,367243,65837,1,15000,3491,18,974600,161367,201253,51971,17547,205229,9832,7312
Tohoku,199911,26496,218689,37187,10,24420,12198,88,2097750,622607,874963,201490,76581,107526,7452,219
Tokyo,199911,81400,561540,94169,5,6350,1508,129,4594890,1343160,2004102,481622,173821,,,
Chubu,199911,40646,335382,49303,1,2800,567,56,1906250,734672,2544638,563078,185475,,,
Hokuriku,199911,26109,178975,25273,1,2000,1037,31,723800,214113,364202,84526,32279,63733,2445,206
Kansai,199911,92971,378045,64563,3,5040,1909,113,3547600,866609,1287659,306215,103939,,,
Chugoku,199911,108095,697272,92903,24,27639,7112,96,2736302,763890,898335,263223,79048,,,
Shikoku,199911,17432,135160,16888,12,28990,8624,45,841500,257199,713164,179965,60786,,,
Kyushu,199911,97089,588982,75493,18,28710,9721,104,2403140,724919,1358177,292768,90863,,,
Okinawa,199911,4435,,6545,2,2920,1277,3,71500,17403,27502,4743,1543,,,
Hokkaido,199910,64776,360008,49761,1,15000,3822,18,974600,179208,201658,52242,14496,31708,2407,653
Tohoku,199910,25872,213305,32227,10,24420,13055,88,2094250,663243,875107,201882,62148,1776,142,2
Tokyo,199910,80158,552241,90081,5,6350,1647,129,4594890,1385225,2006389,482368,139560,,,
Chubu,199910,40021,329891,47455,1,2800,575,56,1906250,749165,2546131,563599,149935,,,
Hokuriku,199910,25532,174785,22120,1,2000,1027,31,723800,204541,365281,84813,26111,1058,43,0
Kansai,199910,92027,371850,62785,3,5040,1992,113,3547600,930502,1288410,306390,80947,,,
Chugoku,199910,106794,688653,83907,22,25154,6729,96,2736302,813200,898874,263502,60815,,,
Shikoku,199910,17027,132192,15026,12,28990,8735,45,841000,277206,709469,179155,44656,,,
Kyushu,199910,91794,560797,70182,18,28110,9463,104,2407540,762513,1373310,296470,73319,,,
Okinawa,199910,4322,,5455,2,2920,1174,3,71500,17139,26900,4600,1198,,,
Hokkaido,199909,63851,354221,42250,1,15000,4429,18,974600,191601,201921,52361,12478,6314,239,174
Tohoku,199909,25339,208543,30554,10,24420,12256,88,2094250,585704,874573,202331,52407,0,0,0
Tokyo,199909,79515,547408,94862,5,6350,1778,129,4596090,1226143,2009786,483309,126183,,,
Chubu,199909,39343,324100,46182,1,2800,539,55,1895950,717834,2548136,564283,135465,,,
Hokuriku,199909,25048,171116,21213,1,2000,971,31,717800,173447,365666,84943,22155,0,0,0
Kansai,199909,91002,366192,65779,3,5040,2048,113,3547600,885645,1288671,306430,69861,,,
Chugoku,199909,105729,681457,90086,21,23844,6556,95,2735402,768244,899750,263839,56202,,,
Shikoku,199909,16586,129262,15950,12,28990,8854,44,830000,193576,707795,178797,41850,,,
Kyushu,199909,87431,538066,68388,17,26960,8349,102,2348540,613680,1386995,299757,67633,,,
Okinawa,199909,4248,,4741,2,2920,1306,3,71500,16938,26524,4515,1036,,,
Hokkaido,199908,63429,350577,46091,1,15000,4170,18,974600,164581,202768,52579,14058,10552,337,207
Tohoku,199908,24872,203972,30451,10,24420,12510,88,2094250,577974,875703,202699,53196,,,
Tokyo,199908,78992,542793,84975,5,6350,1842,129,4596090,1194651,2013214,484282,119115,,,
Chubu,199908,38662,317500,43059,1,2800,488,55,1895950,651532,2551347,565193,137164,,,
Hokuriku,199908,24650,168008,23222,1,2000,1748,31,724700,166143,367736,85239,23205,0,0,0
Kansai,199908,90365,362087,69773,3,5040,1781,113,3547600,828977,1290711,306990,76450,,,
Chugoku,199908,104538,673411,88727,21,23919,5896,95,2735270,779229,901334,264432,57434,,,
Shikoku,199908,16351,127650,15587,12,28840,8156,44,830000,210176,706497,178547,42377,,,
Kyushu,199908,82565,512528,60294,17,26960,8838,102,2332390,622740,1403717,303716,67192,,,
Okinawa,199908,4171,,3904,2,2920,1170,3,71500,16238,26364,4440,951,,,
Hokkaido,199907,62381,344032,44888,1,15000,4223,18,974600,168767,203507,52832,15496,24635,825,337
Tohoku,199907,24380,198752,27693,10,24420,12623,88,2095550,543950,875478,202970,61790,,,
Tokyo,199907,78330,536114,83678,5,6350,1841,129,4596090,1170531,2014544,484760,149357,,,
Chubu,199907,37990,311855,41895,1,2800,475,55,1895950,690034,2552646,565572,162443,,,
Hokuriku,199907,24288,165163,20322,2,5600,3265,30,716400,150990,367975,85328,27157,0,0,0
Kansai,199907,89657,357589,60356,3,5040,1849,113,3541600,834684,1292618,307494,89033,,,
Chugoku,199907,103403,665761,81074,21,23855,6476,95,2734770,755040,901592,264578,66582,,,
Shikoku,199907,16036,125408,14771,12,28840,8748,46,879630,194192,703866,177944,48867,,,
Kyushu,199907,77268,485116,54861,17,26960,8687,102,2330690,635953,1421958,308069,78092,,,
Okinawa,199907,4073,,3819,2,2920,1410,3,71500,14117,26140,4398,1010,,,
Hokkaido,199906,61908,340782,48222,1,15000,3848,18,974600,133106,204294,53181,16977,133804,3577,4773
Tohoku,199906,24037,196000,27758,10,24420,12283,88,2089050,602519,876865,203554,68177,40,3,-10
Tokyo,199906,77804,531213,77208,5,6350,1654,129,4579090,1279716,2017846,485645,152857,,,
Chubu,199906,37524,307592,37775,1,2800,455,55,1895950,726685,2555729,566416,163870,,,
Hokuriku,199906,23798,161830,19942,2,5600,2888,30,715900,169297,368496,85498,29584,0,0,0
Kansai,199906,88907,353295,53482,3,5040,1910,113,3541700,882480,1293464,307716,89741,,,
Chugoku,199906,102447,659332,78040,21,23855,5999,95,2731770,711659,901742,264774,70734,,,
Shikoku,199906,15729,123339,13697,12,28840,8310,46,895930,244566,700668,177201,49783,,,
Kyushu,199906,72147,458546,52067,18,29930,9130,102,2328450,673431,1438437,311944,86813,,,
Okinawa,199906,4047,,3384,2,2920,1293,3,71500,17774,26080,4354,1158,,,
Hokkaido,199905,61530,338613,61425,1,15000,4068,18,976100,172183,204969,53354,20653,357236,12391,22254
Tohoku,199905,23640,192290,34653,10,24420,11763,88,2098550,627538,877805,204058,90342,247,11,44
Tokyo,199905,77205,526338,87026,5,6350,1668,129,4579090,1344508,2021429,486540,193113,,,
Chubu,199905,37050,303525,45805,1,2800,436,55,1894450,723912,2559754,567334,231378,,,
Hokuriku,199905,23379,159110,25013,2,5600,2689,29,710900,185626,369665,85816,39202,0,0,2
Kansai,199905,88106,348563,68445,3,5040,1923,113,3541700,882715,1295163,308335,127802,,,
Chugoku,199905,101570,653706,89943,21,23855,5859,95,2736570,748112,902217,265052,87275,,,
Shikoku,199905,15513,122003,15986,12,28840,8727,46,895930,291593,698538,176731,65549,,,
Kyushu,199905,68591,439885,61164,17,28940,9577,102,2333150,669875,1448168,314306,119340,,,
Okinawa,199905,4034,,3443,2,2920,1309,3,71500,17503,25817,4286,1370,,,
Hokkaido,199904,62516,342865,73411,1,15000,2674,18,973100,139128,205318,53498,22331,566703,33353,96347
Tohoku,199904,23296,189584,41517,10,24420,11915,88,2086850,573486,878402,204366,106790,6722,327,8386
Tokyo,199904,76844,523519,100083,5,6350,1551,129,4579090,1238456,2022941,486811,233624,,,
Chubu,199904,36397,298368,49739,1,2800,430,55,1894450,664810,2562424,567933,285858,,,
Hokuriku,199904,22971,156219,26260,2,5600,2759,29,710900,177652,370269,85953,40877,1294,51,295
Kansai,199904,85528,337167,78758,3,5040,1267,113,3549700,836935,1291813,307111,149879,,,
Chugoku,199904,100500,646708,109639,21,23855,5641,95,2737870,685813,901741,264897,106943,,,
Shikoku,199904,15281,120443,18083,12,28840,8551,46,912930,258174,696449,176293,77438,,,
Kyushu,199904,66129,426396,65263,17,28940,9634,102,2333150,624402,1447956,313978,137853,,,
Okinawa,199904,4026,,3882,2,3000,1207,3,71500,15233,25339,4195,1544,,,
Hokkaido,199903,59743,329026,75563,1,15000,2065,18,973100,120560,207129,54051,22144,641546,51346,146044
Tohoku,199903,22576,184705,39245,10,24370,12597,88,2069000,547131,877202,204316,101560,288349,27188,30365
Tokyo,199903,75121,513413,96216,5,6950,1852,131,4759370,1240803,2017296,484204,226403,,,
Chubu,199903,35322,291191,45820,1,2800,596,54,1935950,690848,2556628,566468,244130,,,
Hokuriku,199903,22367,152388,26753,2,5600,2768,29,711500,183008,370100,85833,41304,74756,4042,5051
Kansai,199903,79746,313669,74958,3,5040,2027,114,3592850,835544,1282539,303179,137458,,,
Chugoku,199903,98890,636369,104179,18,18710,4941,97,2841670,669665,900882,264632,100846,,,
Shikoku,199903,14819,117627,17551,13,33140,11721,47,925397,248781,693567,175577,75048,,,
Kyushu,199903,63683,412701,62151,17,28050,9469,102,2351400,615722,1445093,313723,129563,,,
Okinawa,199903,4028,,4370,2,3000,1117,3,71500,18401,24887,4072,1642,,,
Hokkaido,199902,58945,324099,83898,1,15000,1502,18,973100,99946,206415,53857,23847,640707,51127,177439
Tohoku,199902,22025,180005,40577,10,24370,11121,88,2069000,545943,877134,204702,104481,318880,31477,52808
Tokyo,199902,74932,510439,98166,5,6950,1690,131,4759370,1118418,2021074,485612,231488,,,
Chubu,199902,34418,284332,47878,1,2800,635,54,1935950,665564,2554872,567283,250261,,,
Hokuriku,199902,21927,149158,27542,2,5600,2538,29,711500,175632,370145,85997,42006,146992,8558,13203
Kansai,199902,80160,312707,80472,3,5040,1754,114,3592850,797997,1292226,306838,144990,,,
Chugoku,199902,98101,630877,111892,18,18710,4474,97,2841670,668385,902196,265092,106922,,,
Shikoku,199902,14593,116041,17927,13,34140,10720,47,929780,230365,691579,175150,76066,,,
Kyushu,199902,58938,387577,62266,17,28050,8659,102,2351400,555274,1457100,317354,132964,,,
Okinawa,199902,4019,,5182,2,3000,1320,3,71500,17849,24209,3932,1814,,,
Hokkaido,199901,58390,321197,85378,1,15000,638,18,973100,111213,207345,54034,24509,635343,50871,152004
Tohoku,199901,21803,177964,45612,10,24370,11582,88,2069000,583688,876687,205060,117609,317061,31316,43708
Tokyo,199901,74294,506071,113669,5,6950,1721,131,4759370,1169483,2022951,486397,266103,,,
Chubu,199901,33782,278915,58020,1,2800,664,54,1935950,665349,2555990,567887,298588,,,
Hokuriku,199901,21605,146684,30807,2,5600,2579,29,711500,186841,370805,86149,47399,149812,8744,9385
Kansai,199901,79427,308324,91241,3,5040,1760,115,3594850,822227,1293631,307481,168566,,,
Chugoku,199901,97312,625501,119906,18,18710,4695,96,2837870,659356,903067,265422,116128,,,
Shikoku,199901,14410,114758,20327,13,33920,11200,47,929780,250517,690166,174907,86711,,,
Kyushu,199901,54502,363902,69734,17,28050,8862,102,2350300,621619,1469364,320734,157167,,,
Okinawa,199901,3997,,6211,2,3000,1191,3,71500,17182,23558,3783,1860,,,
Hokkaido,199812,57628,315929,68472,1,15000,1815,18,963100,129922,208372,54369,20337,560636,40665,73864
Tohoku,199812,21431,174902,36343,10,24370,12162,88,2069000,623404,876705,205236,94678,287546,27186,6881
Tokyo,199812,73906,503370,89863,5,6950,1693,131,4759370,1236527,2023923,487020,204358,,,
Chubu,199812,33105,273740,43058,1,2800,673,54,1935950,702010,2556938,568190,216072,,,
Hokuriku,199812,21198,143731,22711,2,5600,2589,29,711500,198986,371306,86318,36671,123791,6015,1149
Kansai,199812,78382,302760,64150,3,5040,1750,115,3599350,852560,1293382,307496,121672,,,
Chugoku,199812,96083,617542,94015,16,17890,4581,96,2837870,677059,903395,265700,92540,,,
Shikoku,199812,14117,112533,15159,13,33920,11477,47,929780,268530,686575,174110,65748,,,
Kyushu,199812,50009,340174,47565,17,28050,9020,102,2350300,662588,1479903,323308,114884,,,
Okinawa,199812,3955,,5886,2,3000,1208,3,71500,21041,22979,3642,1527,,,
Hokkaido,199811,56918,310777,56676,1,15000,2318,18,963100,166625,209713,54762,18871,176367,10938,5742
Tohoku,199811,20945,170588,30221,10,24370,11496,88,2069000,616481,875954,205475,79359,98445,6976,436
Tokyo,199811,73386,499108,86649,5,6950,1606,131,4759370,1277121,2025906,487513,182113,,,
Chubu,199811,32582,269628,44402,1,2800,601,54,1939150,712177,2557440,568446,202778,,,
Hokuriku,199811,20547,139051,19502,2,5600,2725,29,711500,196968,372177,86561,33062,61044,2344,229
Kansai,199811,77335,297509,59085,3,5040,1850,115,3599350,894698,1293880,307740,112750,,,
Chugoku,199811,94799,609092,81873,16,17840,4771,96,2837870,699843,904384,266131,79595,,,
Shikoku,199811,13762,109976,13488,13,33770,11538,47,929780,254198,682400,173154,56350,,,
Kyushu,199811,45265,314372,41567,17,28070,9328,102,2380600,660480,1491492,326134,102853,,,
Okinawa,199811,3889,,5479,2,3000,1474,3,71500,17710,22346,3517,1251,,,
Hokkaido,199810,56278,306297,42478,1,15000,2593,18,963100,182203,210279,54993,15700,25855,1931,559
Tohoku,199810,20556,167466,25293,10,24370,12492,90,2074200,596676,876083,205869,61064,1752,141,2
Tokyo,199810,72811,494961,78365,5,6950,1977,131,4759370,1296809,2028821,488436,143716,,,
Chubu,199810,32027,265177,38433,1,2800,598,54,1939150,689859,2559821,569143,150923,,,
Hokuriku,199810,19835,133984,17228,2,5600,2959,29,711500,187238,373677,86966,27948,990,40,2
Kansai,199810,76366,292675,50952,3,5040,1841,115,3599350,951795,1293328,307749,82139,,,
Chugoku,199810,93609,601451,72685,16,17840,4661,96,2842870,756582,905931,266695,61691,,,
Shikoku,199810,13512,108244,12089,13,33770,11257,47,933780,255894,679102,172433,42929,,,
Kyushu,199810,41844,294830,35785,17,28050,9414,102,2375100,671854,1499496,328229,78767,,,
Okinawa,199810,3837,,4708,2,3000,1152,3,71500,17235,21903,3402,987,,,
Hokkaido,199809,55263,300191,38465,1,15000,3165,18,955100,173858,212087,55474,14502,7360,314,203
Tohoku,199809,20133,163840,25403,10,24270,12245,90,2074200,564462,874967,206240,59512,50,11,
