Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Hokkaido,201603,,,1163994,,,,1841722,1841722,,,,16992,1341289,,,,,,,2230,1993,128,4605,,,,,1527308,1536264,1544300,2877553,
Tohoku,201603,,,3026378,,,,5286462,5286462,,,,66820,3813283,,,,,,,17549,27376,88,9245,,,,,978030,1032288,1044850,4845571,
Tokyo,201603,,,14997917,,,,14151210,14151210,,,,9679,11641261,,,,,,,108924,61239,2342,55310,,,,,1260413,1488227,1270092,13129488,
Chubu,201603,,,6076214,,,,8020890,8020890,,,,167640,5697234,,,,,,,14533,48484,50,12861,,,,,1538453,1614381,1706093,7311615,
Hokuriku,201603,,,1187431,,,,2938792,2938792,,,,46801,1289596,,,,,,,3227,24030,2579,3863,,,,,295829,329528,342630,1619124,
Kansai,201603,,,3657041,,,,8215958,8215958,,,,3537,6297606,,,,,,,30610,38711,0,20195,,,,,689555,779071,693092,7076677,
Chugoku,201603,,,960268,,,,5398375,5398375,,,,2022,2358807,,,,,,,3703,14991,123,6584,,,,,454142,479543,456164,2838350,
Shikoku,201603,,,711304,,,,2421255,2421255,,,,90098,1603933,,,,,,,5194,50307,43,3476,,,,,433455,492475,523553,2096408,
Kyushu,201603,,,3087316,,,,8294508,8294508,,,,234204,4995186,,,,,,,13863,127607,1159,9533,,,,,838904,991066,1073108,5986252,
