Company,Year_term,"Mining and Manufacturing_
Mining_Coal mining (MWh)","Mining and Manufacturing_
Mining_Others (MWh)","Mining and Manufacturing_
Mining_Total Mining (MWh)","Mining and Manufacturing_
Manufacturing_Food (MWh)","Mining and Manufacturing_
Manufacturing_
Textiles (MWh)",Mining and Manufacturing_Manufacturing_Pulp and paper/paper products (MWh),"Mining and Manufacturing_
Manufacturing_
Chemical_
Ammoniacal fertilizer (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_
Lime nitrogen/Electric furnace (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Soda (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Basic petrochemicals (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Chemical fibers (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Total Chemical (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Oil/Coal (MWh)","Mining and Manufacturing_
Manufacturing_
Chemical_Rubber products (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Cement (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Ceramics_Total Ceramics (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Steel with blast furnace (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Steel others (MWh)","Mining and Manufacturing_
Manufacturing_
Steel_Total Steel (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_
Aluminum 
smelting and refining (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_Others (MWh)","Mining and Manufacturing_
Manufacturing_
Non-ferrous metals_Total Non-ferrous metals (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Electric machinery/
equipment and supplies (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_
Transportation equipment (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Other machinery (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Total Machinery (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Other manufacturing (MWh)","Mining and Manufacturing_
Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Hokkaido,201603,,,7570,88358,,13402,,,,,,,17517,989,,,,3939,,,40453,,,4278,,,,51587,31567,252090,259660,31232,48208,79440,339100
Tohoku,201603,,,13771,127984,6752,60453,,,,,,,164350,1772,25204,,,73469,,,210423,,,286183,,,,602305,185506,1744401,1758172,120580,185563,306143,2064315
Tokyo,201603,,,13328,443065,14323,173333,,,,,,,727365,39761,41558,,,171923,,,584223,,,293371,,,,1183239,713811,4385972,4399301,465450,934241,1399690,5798991
Chubu,201603,,,3122,221167,60437,119169,,,,,,,224322,12284,50779,,,208750,,,537921,,,114542,,,,1826776,450810,3826957,3830079,227205,245717,472922,4303001
Hokuriku,201603,,,69,16985,82892,22896,,,,,,,117823,508,1845,,,22876,,,67215,,,80391,,,,284714,129228,827373,827442,26296,50212,76508,903950
Kansai,201603,,,6520,175395,44807,56340,,,,,,,316941,29025,24443,,,203763,,,610737,,,158027,,,,605411,360241,2585130,2591650,359384,329212,688596,3280246
Chugoku,201603,,,13099,90112,37753,32919,,,,,,,197795,34435,27828,,,59691,,,450850,,,131028,,,,429105,109438,1600954,1614053,107497,114878,222375,1836428
Shikoku,201603,,,4590,37865,28906,90723,,,,,,,93233,26393,4375,,,1438,,,79321,,,,,,,156486,56142,574882,579472,8232,39454,47686,627158
Kyushu,201603,,,14859,176976,23026,24762,,,,,,,186550,11104,48213,,,70050,,,169511,,,155906,,,,546187,146452,1558737,1573596,90632,173311,263943,1837539
