Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Hokkaido,199603,4.62,9.8
Tohoku,199603,9.55,12.5
Tokyo,199603,5.98,9.57
Chubu,199603,5.09,9.06
Hokuriku,199603,5.04,7.85
Kansai,199603,4.7,8.36
Chugoku,199603,6,9.4
Shikoku,199603,8.7,13.7
Kyushu,199603,5.88,9.69
Okinawa,199603,11.18,17.4
Hokkaido,199602,1.68,7.25
Tohoku,199602,3.19,6.09
Tokyo,199602,5.17,8.8
Chubu,199602,5.1,9.06
Hokuriku,199602,5.37,9.29
Kansai,199602,4.62,8.31
Chugoku,199602,3.87,7.52
Shikoku,199602,6.3,11.1
Kyushu,199602,3.93,7.96
Okinawa,199602,4.04,10.8
Hokkaido,199601,9.73,14.75
Tohoku,199601,5.12,7.82
Tokyo,199601,1.67,5.55
Chubu,199601,1.02,5.19
Hokuriku,199601,0.54,4.56
Kansai,199601,2.29,6.22
Chugoku,199601,4.6,8.1
Shikoku,199601,4.8,10
Kyushu,199601,2.1,6.25
Okinawa,199601,1.49,8.28
Hokkaido,199512,15.5,20.05
Tohoku,199512,12.41,15.13
Tokyo,199512,11.67,15.03
Chubu,199512,11.43,15.06
Hokuriku,199512,9.43,13.05
Kansai,199512,11.8,15.4
Chugoku,199512,13,16.1
Shikoku,199512,14.4,19.3
Kyushu,199512,13.27,16.91
Okinawa,199512,5.78,11.7
Hokkaido,199511,8.76,13.58
Tohoku,199511,8.88,11.66
Tokyo,199511,6.56,10.22
Chubu,199511,6.83,10.55
Hokuriku,199511,7.53,11.07
Kansai,199511,7.26,11.06
Chugoku,199511,8.1,11.9
Shikoku,199511,10.1,15.2
Kyushu,199511,6.09,10.25
Okinawa,199511,-14.54,-7.36
Hokkaido,199510,8.75,13.36
Tohoku,199510,6.08,9.31
Tokyo,199510,4.94,8.65
Chubu,199510,4.31,8.28
Hokuriku,199510,3.89,7.51
Kansai,199510,3.91,7.78
