Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Hokkaido,2015H2,39.57,37.43,12365019,3097882,3075047,26400,924598,981496,878026,41800,285007,,,,,,,,,,,,,,,,,,2691421,0.218,39.57
Tohoku,2015H2,43.17,41.58,31972265,4514768,4502638,27590,687630,159874,162986,41200,160105,176129,194540,39870,114908,,,,,,,2595374,2457242,54660,244652,,,,6296721,0.197,43.17
Tokyo,2015H2,44.47,43.1,101266964,4452072,4329091,29740,702016,838427,817625,40740,343832,335351,511704,39350,431211,,,,0,61,0,11527865,10853337,54530,686754,39062,55261,97645,20123125,0.199,44.47
Chubu,2015H2,44.2,42.76,57579233,4811441,4931960,28020,263862,6048,1646,40150,14149,10000,35576,38870,552163,,,,,,,6279562,6180636,54720,550528,1095,0,57,11679195,0.203,44.2
Hokuriku,2015H2,39.71,37.6,12388910,3619437,3718717,28490,543128,122984,182934,41710,156850,139112,142677,39090,41830,,,,,,,,,,,,,,2693329,0.217,39.71
Kansai,2015H2,44.46,43.06,44537460,1899363,1935396,28060,154792,30014,24221,39390,70831,1828684,1824448,40040,470138,,,,,,389,4183215,4319026,54730,253057,245,274,309,9213791,0.207,44.46
Chugoku,2015H2,40.61,38.66,19853103,3440706,3284852,28700,916438,585822,659899,41930,98375,202430,196722,41190,98196,,,,,,,976385,961669,54470,171047,,,,4197605,0.211,40.61
Shikoku,2015H2,39.7,37.6,8221348,1588164,1626523,27850,466331,301394,306158,41750,81878,88328,102644,41080,67622,,,,,,,176732,152960,54600,27281,,,,1785498,0.217,39.7
Kyushu,2015H2,41.66,40.27,22007264,2757305,2880013,27790,366935,236731,286999,41580,114976,51266,116685,38880,52564,,,,,,,1807728,1834660,54650,144986,,,,4571859,0.208,41.66
Okinawa,2015H2,39.91,36.46,2907307,881367,789424,25620,233060,62195,62869,42330,44567,,,,,,,,,,,121298,100965,54510,72852,,,,619581,0.213,39.91
Hokkaido,2015H1,39,36.87,9703218,2423970,2224836,26710,882982,767538,818293,41730,194954,,,,,,,,,,,,,,,,,,2147174,0.221,39
Tohoku,2015H1,42.14,40.47,24958723,3776152,3635284,27610,659716,159184,204715,41190,163470,125188,134575,40090,133703,,,,,,,1977408,1862792,54640,210426,,,,5177042,0.207,42.14
Tokyo,2015H1,43.74,42.38,96748809,4095756,4007273,29780,627984,714758,836999,40710,321913,280684,328862,39300,617565,,,,,,61,11359448,10696370,54530,768973,126653,101107,113844,19559196,0.202,43.74
