Company,Year_term,Hydroelectric Flow Rate (%)
会社名,年期,出水率
Hokkaido,201603,125.4
Tohoku,201603,104.6
Tokyo,201603,98.1
Chubu,201603,97.7
Hokuriku,201603,98.7
Kansai,201603,98.7
Chugoku,201603,94.6
Shikoku,201603,84.6
Kyushu,201603,83.4
Okinawa,201603,
Hokkaido,201602,110.6
Tohoku,201602,119
Tokyo,201602,109.7
Chubu,201602,153.1
Hokuriku,201602,138.8
Kansai,201602,146.8
Chugoku,201602,139.6
Shikoku,201602,158.2
Kyushu,201602,120.9
Okinawa,201602,
Hokkaido,201601,106.1
Tohoku,201601,112.3
Tokyo,201601,101.6
Chubu,201601,102.5
Hokuriku,201601,108.4
Kansai,201601,120.5
Chugoku,201601,99
Shikoku,201601,113.7
Kyushu,201601,119.3
Okinawa,201601,
Hokkaido,201512,104.1
Tohoku,201512,118.4
Tokyo,201512,114.3
Chubu,201512,128.3
Hokuriku,201512,143.6
Kansai,201512,135
Chugoku,201512,165.8
Shikoku,201512,209.9
Kyushu,201512,148.4
Okinawa,201512,
Hokkaido,201511,90.1
Tohoku,201511,81.6
Tokyo,201511,105.1
Chubu,201511,118
Hokuriku,201511,111.9
Kansai,201511,118.5
Chugoku,201511,122.7
Shikoku,201511,120.2
Kyushu,201511,107.2
Okinawa,201511,
Hokkaido,201510,105.7
Tohoku,201510,80.2
Tokyo,201510,96.5
Chubu,201510,101.5
Hokuriku,201510,93.1
Kansai,201510,99.8
Chugoku,201510,82.1
Shikoku,201510,77
Kyushu,201510,92.4
Okinawa,201510,
Hokkaido,201509,75.9
Tohoku,201509,103.1
Tokyo,201509,116.4
Chubu,201509,141.4
Hokuriku,201509,121.2
Kansai,201509,121.6
Chugoku,201509,147.7
Shikoku,201509,132.4
Kyushu,201509,114.2
Okinawa,201509,
Hokkaido,201508,92.6
Tohoku,201508,69.4
Tokyo,201508,94.2
Chubu,201508,105.8
Hokuriku,201508,89.9
Kansai,201508,97.7
Chugoku,201508,88.2
Shikoku,201508,102.8
Kyushu,201508,100.6
Okinawa,201508,
Hokkaido,201507,88.5
Tohoku,201507,75.7
Tokyo,201507,98
Chubu,201507,113.9
Hokuriku,201507,92.4
Kansai,201507,99.7
Chugoku,201507,82.1
Shikoku,201507,135.8
Kyushu,201507,124.8
Okinawa,201507,
Hokkaido,201506,90.6
Tohoku,201506,91.4
Tokyo,201506,92.3
Chubu,201506,88.3
Hokuriku,201506,93.3
Kansai,201506,92.3
Chugoku,201506,85.8
Shikoku,201506,112.9
Kyushu,201506,137.3
Okinawa,201506,
Hokkaido,201505,104.5
Tohoku,201505,107.3
Tokyo,201505,95.8
Chubu,201505,100.1
Hokuriku,201505,101.3
Kansai,201505,106.9
Chugoku,201505,70.9
Shikoku,201505,69.1
Kyushu,201505,79
Okinawa,201505,
Hokkaido,201504,121
Tohoku,201504,113.5
Tokyo,201504,113.7
Chubu,201504,140.1
Hokuriku,201504,116.7
Kansai,201504,144.6
Chugoku,201504,124.6
Shikoku,201504,136.1
Kyushu,201504,112.7
Okinawa,201504,
Hokkaido,201503,133.6
Tohoku,201503,113.9
Tokyo,201503,99.8
Chubu,201503,117.4
Hokuriku,201503,107.4
Kansai,201503,115.3
Chugoku,201503,111.4
Shikoku,201503,130.6
Kyushu,201503,102.5
Okinawa,201503,
Hokkaido,201502,100.6
Tohoku,201502,100.6
Tokyo,201502,99.7
Chubu,201502,113.2
Hokuriku,201502,99.6
Kansai,201502,120.5
Chugoku,201502,121.9
Shikoku,201502,112.6
Kyushu,201502,96.6
Okinawa,201502,
Hokkaido,201501,93.2
Tohoku,201501,103.3
Tokyo,201501,115.7
Chubu,201501,127.4
Hokuriku,201501,104.1
Kansai,201501,127
Chugoku,201501,156.5
Shikoku,201501,201.3
Kyushu,201501,109.3
Okinawa,201501,
Hokkaido,201412,93.1
Tohoku,201412,102.5
Tokyo,201412,121.1
Chubu,201412,143.9
Hokuriku,201412,126.4
Kansai,201412,143.6
Chugoku,201412,168.5
Shikoku,201412,165.4
Kyushu,201412,103.7
Okinawa,201412,
Hokkaido,201411,91.5
Tohoku,201411,94.4
Tokyo,201411,105.5
Chubu,201411,105.7
Hokuriku,201411,109.8
Kansai,201411,112.8
Chugoku,201411,94
Shikoku,201411,83.9
Kyushu,201411,96.9
Okinawa,201411,
Hokkaido,201410,81.1
Tohoku,201410,91.8
Tokyo,201410,101.8
Chubu,201410,121.9
Hokuriku,201410,113.3
Kansai,201410,111.9
Chugoku,201410,116.3
Shikoku,201410,122.1
Kyushu,201410,119.1
Okinawa,201410,
Hokkaido,201409,97.5
Tohoku,201409,78.1
Tokyo,201409,86.5
Chubu,201409,97.2
Hokuriku,201409,89
Kansai,201409,95.8
Chugoku,201409,92.1
Shikoku,201409,99
Kyushu,201409,90.8
Okinawa,201409,
Hokkaido,201408,139.8
Tohoku,201408,113
Tokyo,201408,103.5
Chubu,201408,118.9
Hokuriku,201408,135.7
Kansai,201408,133.8
Chugoku,201408,184.6
Shikoku,201408,155.6
Kyushu,201408,123.1
Okinawa,201408,
Hokkaido,201407,79.7
Tohoku,201407,102.9
Tokyo,201407,99.4
Chubu,201407,84.8
Hokuriku,201407,99.2
Kansai,201407,85
Chugoku,201407,74.1
Shikoku,201407,94
Kyushu,201407,101.8
Okinawa,201407,
Hokkaido,201406,95
Tohoku,201406,115.1
Tokyo,201406,106.3
Chubu,201406,84.3
Hokuriku,201406,93.3
Kansai,201406,75.8
Chugoku,201406,65.2
Shikoku,201406,101.1
Kyushu,201406,98.4
Okinawa,201406,
Hokkaido,201405,91.7
Tohoku,201405,106.4
Tokyo,201405,95.5
Chubu,201405,82.5
Hokuriku,201405,92.3
Kansai,201405,82.4
Chugoku,201405,56.6
Shikoku,201405,66.9
Kyushu,201405,81.7
Okinawa,201405,
Hokkaido,201404,90.9
Tohoku,201404,106.6
Tokyo,201404,98.4
Chubu,201404,97.3
Hokuriku,201404,97.8
Kansai,201404,96.4
Chugoku,201404,106.5
Shikoku,201404,103.9
Kyushu,201404,84.1
Okinawa,201404,
Hokkaido,201403,114.4
Tohoku,201403,103
Tokyo,201403,100
Chubu,201403,117.8
Hokuriku,201403,110.1
Kansai,201403,122.5
Chugoku,201403,106.2
Shikoku,201403,117.8
Kyushu,201403,101.3
Okinawa,201403,
Hokkaido,201402,117.5
Tohoku,201402,102.4
Tokyo,201402,81.7
Chubu,201402,89.5
Hokuriku,201402,89.9
Kansai,201402,96.1
Chugoku,201402,111
Shikoku,201402,115.9
Kyushu,201402,115.1
Okinawa,201402,
Hokkaido,201401,117.5
Tohoku,201401,96.2
Tokyo,201401,88.6
Chubu,201401,81.6
Hokuriku,201401,79.2
Kansai,201401,87.2
Chugoku,201401,122.9
Shikoku,201401,142.3
Kyushu,201401,88.2
Okinawa,201401,
Hokkaido,201312,119.7
Tohoku,201312,98
Tokyo,201312,94.9
Chubu,201312,102.6
Hokuriku,201312,93.9
Kansai,201312,91
Chugoku,201312,155.5
Shikoku,201312,188.6
Kyushu,201312,102.3
Okinawa,201312,
Hokkaido,201311,143.9
Tohoku,201311,109.5
Tokyo,201311,111
Chubu,201311,123.5
Hokuriku,201311,112.8
Kansai,201311,109.1
Chugoku,201311,162.8
Shikoku,201311,163
Kyushu,201311,104.9
Okinawa,201311,
Hokkaido,201310,136.9
Tohoku,201310,110.6
Tokyo,201310,101.6
Chubu,201310,110.5
Hokuriku,201310,120
Kansai,201310,108.3
Chugoku,201310,129.8
Shikoku,201310,159.7
Kyushu,201310,124.4
Okinawa,201310,
Hokkaido,201309,139.9
Tohoku,201309,109.2
Tokyo,201309,99.3
Chubu,201309,113.9
Hokuriku,201309,139.5
Kansai,201309,127.3
Chugoku,201309,147.3
Shikoku,201309,108.2
Kyushu,201309,97.9
Okinawa,201309,
Hokkaido,201308,87.8
Tohoku,201308,116.7
Tokyo,201308,84.3
Chubu,201308,84.6
Hokuriku,201308,126.3
Kansai,201308,118
Chugoku,201308,115.1
Shikoku,201308,40.8
Kyushu,201308,65.7
Okinawa,201308,
Hokkaido,201307,93.2
Tohoku,201307,119.6
Tokyo,201307,88.7
Chubu,201307,86.6
Hokuriku,201307,104.3
Kansai,201307,94.2
Chugoku,201307,96.8
Shikoku,201307,75.4
Kyushu,201307,75.7
Okinawa,201307,
Hokkaido,201306,122.1
Tohoku,201306,103.6
Tokyo,201306,94.7
Chubu,201306,78.2
Hokuriku,201306,98.8
Kansai,201306,87.3
Chugoku,201306,92.7
Shikoku,201306,81.8
Kyushu,201306,82.9
Okinawa,201306,
Hokkaido,201305,100.4
Tohoku,201305,99.3
Tokyo,201305,89.1
Chubu,201305,72.9
Hokuriku,201305,90.3
Kansai,201305,75.9
Chugoku,201305,49.3
Shikoku,201305,48.9
Kyushu,201305,52.4
Okinawa,201305,
Hokkaido,201304,100.5
Tohoku,201304,101.7
Tokyo,201304,99.1
Chubu,201304,99.2
Hokuriku,201304,96
Kansai,201304,96.2
Chugoku,201304,76.7
Shikoku,201304,91.1
Kyushu,201304,66.6
Okinawa,201304,
Hokkaido,201303,92.8
Tohoku,201303,108.5
Tokyo,201303,100
Chubu,201303,114.1
Hokuriku,201303,117.8
Kansai,201303,122.2
Chugoku,201303,82
Shikoku,201303,90.3
Kyushu,201303,90.8
Okinawa,201303,
Hokkaido,201302,111.3
Tohoku,201302,85.8
Tokyo,201302,87
Chubu,201302,107.8
Hokuriku,201302,96.5
Kansai,201302,106.3
Chugoku,201302,114.8
Shikoku,201302,161.8
Kyushu,201302,144.4
Okinawa,201302,
Hokkaido,201301,109.6
Tohoku,201301,88.4
Tokyo,201301,84.2
Chubu,201301,97.9
Hokuriku,201301,94.7
Kansai,201301,111.6
Chugoku,201301,114.6
Shikoku,201301,153.5
Kyushu,201301,122.8
Okinawa,201301,
Hokkaido,201212,118.2
Tohoku,201212,72.8
Tokyo,201212,75.1
Chubu,201212,98.2
Hokuriku,201212,100.8
Kansai,201212,103.3
Chugoku,201212,121.6
Shikoku,201212,163
Kyushu,201212,120.6
Okinawa,201212,
Hokkaido,201211,148.8
Tohoku,201211,88.8
Tokyo,201211,79.8
Chubu,201211,88.3
Hokuriku,201211,102.1
Kansai,201211,90.8
Chugoku,201211,94.5
Shikoku,201211,105
Kyushu,201211,106.9
Okinawa,201211,
Hokkaido,201210,108.3
Tohoku,201210,68.5
Tokyo,201210,79.4
Chubu,201210,77.7
Hokuriku,201210,67.7
Kansai,201210,64.1
Chugoku,201210,47.8
Shikoku,201210,103.2
Kyushu,201210,97
Okinawa,201210,
Hokkaido,201209,90.8
Tohoku,201209,54.4
Tokyo,201209,66
Chubu,201209,66.8
Hokuriku,201209,54.6
Kansai,201209,69.2
Chugoku,201209,55.8
Shikoku,201209,142.4
Kyushu,201209,116.8
Okinawa,201209,
Hokkaido,201208,84.2
Tohoku,201208,66.8
Tokyo,201208,92.8
Chubu,201208,79.3
Hokuriku,201208,84.1
Kansai,201208,97.3
Chugoku,201208,60.3
Shikoku,201208,125.4
Kyushu,201208,130.5
Okinawa,201208,
Hokkaido,201207,77.3
Tohoku,201207,87.7
Tokyo,201207,104.7
Chubu,201207,110
Hokuriku,201207,100.7
Kansai,201207,101
Chugoku,201207,105
Shikoku,201207,126.2
Kyushu,201207,134.3
Okinawa,201207,
Hokkaido,201206,80.2
Tohoku,201206,105.3
Tokyo,201206,105.8
Chubu,201206,93.3
Hokuriku,201206,95.3
Kansai,201206,87.7
Chugoku,201206,77.7
Shikoku,201206,100.2
Kyushu,201206,104.6
Okinawa,201206,
Hokkaido,201205,103.8
Tohoku,201205,115.1
Tokyo,201205,102.3
Chubu,201205,88.6
Hokuriku,201205,94.4
