Company,Year_term,Revenues_Lighting (M. JPY),Revenues_Power (M. JPY),Revenues_Subtotal (M. JPY),Revenues_Sold power to other utilities (M. JPY),Revenues_Sold power to other suppliers (M. JPY),Revenues_Other rvenues (M. JPY),Revenues_Ordinary revenues (M. JPY),Revenues_Extraordinary income (M. JPY),Revenues_Total Revenues (M. JPY),Expences_Personnel (M. JPY),Expences_Fuel (M. JPY),Expences_Maintenance (M. JPY),Expences_Interest paid (M. JPY),Expences_Depreciation (M. JPY),Expences_Fixed assets tax (M. JPY),Expences_Enterprise tax (M. JPY),Expences_Purchased power from other utilities (M. JPY),Expences_Purchased power from other suppliers (M. JPY),Expences_Other expences (M. JPY),Expences_Total Ordinary expences (M. JPY),Expences_Ordinary income (M. JPY),Expences_Reserve for fluctuation in water levels (M. JPY),Expences_Reserve for the depreciation of NPP construction (M. JPY),Expences_Extraordinary loss (M. JPY),Expences_Income taxes (M. JPY),Expences_Expences (M. JPY),Net income (M. JPY)
会社名,年期,収支総括表_電灯料,収支総括表_電力料,収支総括表_小計,収支総括表_地帯間販売電力料,収支総括表_他社販売電力料,収支総括表_その他収益,収支総括表_経常収益合計,収支総括表_特別利益,収支総括表_収益合計,費用_人件費,費用_燃料費,費用_修繕費,費用_支払利息,費用_減価償却費,費用_固定資産税,費用_事業税,費用_地帯間購入電力料,費用_他社購入電力料,費用_その他費用,費用_経常費用合計,費用_経常利益,費用_渇水準備金引当又は,費用_原子力発電工事償却準備金引当又は,費用_特別損失,費用_法人税等,費用_費用合計,差引利益
Hokkaido,2015,291624,346250,637875,142,5033,55593,698644,,698644,50727,148075,82708,16204,85003,14816,7284,581,107907,164096,677405,21238,1022,,,3116,681545,17099
Tohoku,2015,586437,933071,1519508,189782,21077,146005,1876374,,1876374,115972,395257,190529,31849,223011,31931,17671,120049,297424,332753,1756449,119924,,,,39978,1796428,79946
Tokyo,2015,2295394,2941705,5237099,122640,59589,579859,5999190,760819,6760009,369324,1615433,389969,87252,603775,105727,59385,189988,787073,1463757,5671686,327503,,411,911519,32754,6616371,143637
Chubu,2015,796645,1541213,2337859,16836,28056,279486,2662237,10811,2673049,181578,805625,200961,36947,239356,44200,27813,22684,292816,576562,2428545,233692,12217,,,75077,2515841,157208
Hokuriku,2015,156072,276254,432327,24930,10935,28791,496984,,496984,44289,102396,57911,11224,63696,11411,5225,2511,61290,118035,477992,18992,4807,,,5461,488261,8723
Kansai,2015,1063806,1530231,2594038,13510,26063,279735,2913346,,2913346,196724,710326,185351,46790,281790,52800,29351,37152,456424,716491,2713199,200142,19796,,,61805,2794800,118547
Chugoku,2015,382978,587746,970724,4464,36366,158339,1169894,2743,1172638,99439,239388,98140,21860,94290,19262,10357,1434,274219,280116,1138510,31384,-499,4564,,9037,1151613,21024
Shikoku,2015,200164,286218,486382,7738,8900,93600,596621,,596621,50816,93266,55775,9056,55298,10199,5500,458,150278,152628,583279,13342,3065,,,4137,590482,6139
Kyushu,2015,614284,823622,1437906,523,18731,266614,1723775,7408,1731184,131038,364741,144494,37056,167024,31166,16150,5357,381468,370937,1649436,74338,5934,,,10484,1665855,65328
Okinawa,2015,72781,89259,162040,124,,12809,174974,,174974,16724,46162,17128,2372,26143,2237,1435,,25543,33443,171190,3784,,,,853,172043,2931
Hokkaido,2014,286938,339386,626325,146,3049,39467,668989,,668989,45189,192956,70769,16634,87742,13220,6965,384,110331,133553,677748,-8758,-19391,,,6402,664759,4230
Tohoku,2014,627624,1007316,1634940,203348,13944,108641,1960874,19668,1980543,122242,574728,158641,53339,203525,32397,19015,138968,281681,287125,1871666,89208,,,,46413,1918080,62462
Tokyo,2014,2541583,3466257,6007840,144114,85348,440174,6677477,883655,7561133,355080,2650980,378280,99009,605586,106574,69382,203782,799658,1241777,6510115,167362,,511,616258,7233,7134119,427013
Chubu,2014,869352,1694640,2563992,54353,48056,246678,2913081,28427,2941509,169197,1316403,239694,49677,253824,47761,32033,23675,264741,474124,2871133,41947,5220,,,37779,2914133,27375
Hokuriku,2014,162512,282356,444869,29954,18470,22772,516067,,516067,50485,128758,60839,15148,66830,11588,5651,2195,54007,102461,497966,18100,2688,,,8753,509409,6657
Kansai,2014,1129114,1655047,2784161,11973,29694,248882,3074712,0,3074712,195986,1186593,184611,50624,298148,52502,30684,71500,499607,664079,3234338,-159626,1760,0,0,15335,3251433,-176721
Chugoku,2014,411879,635207,1047086,9018,40207,142961,1239274,,1239274,96373,364519,82277,22802,97346,19502,11736,1370,252915,240549,1189395,49879,566,1882,,17123,1208968,30306
Shikoku,2014,213345,301724,515069,9020,6482,71925,602496,,602496,49347,141535,50576,9946,55788,10465,5771,471,124798,134390,583092,19404,1638,,,8425,593156,9340
Kyushu,2014,648539,897611,1546150,362,16673,208775,1771962,9867,1781829,113103,678486,126641,38693,164721,31864,17113,20137,352300,321981,1865042,-93080,1692,,,34105,1900840,-119010
Okinawa,2014,75673,93553,169227,83,4,9123,178439,,178439,16253,57195,16848,2548,27315,2305,1616,,22992,25643,172718,5720,,,,1759,174478,3960
Hokkaido,2013,267342,306389,573732,240,3025,30653,607652,,607652,53547,214894,72957,16336,89784,13435,6380,232,107886,131019,706477,-98824,2620,,,-37236,671860,-64207
Tohoku,2013,600180,909013,1509194,222684,21977,86376,1840232,24992,1865225,135902,598210,118158,45749,229905,32377,17306,131578,271860,220521,1801571,38660,,,,27614,1829185,36039
Tokyo,2013,2538247,3381454,5919702,133452,71127,365763,6490045,1818379,8308425,355974,2915288,263896,113058,625622,104966,68652,223578,721827,1053946,6446812,43233,0,399,1462243,65,7909519,398905
Chubu,2013,841177,1538363,2379541,73296,18541,187161,2658540,6713,2665254,181032,1314104,202253,42088,262110,43916,29953,25834,223091,438352,2762737,-104196,-5239,,,-24965,2732532,-67277
Hokuriku,2013,162829,275193,438023,32209,9778,20781,500791,,500791,44611,151615,52792,12654,66980,11790,5618,2529,51818,93032,493443,7347,4088,,,1636,499169,1622
Kansai,2013,1144429,1607254,2751684,14074,14427,227856,3008043,,3008043,198186,1159206,178543,51533,298349,52311,30093,80407,474541,607779,3130952,-122909,-3184,,,-26633,3101134,-93091
Chugoku,2013,419757,617675,1037432,6011,36877,116205,1196527,,1196527,108184,401387,92587,24139,97207,19675,11571,1274,231944,226823,1214795,-18267,367,3786,,-3561,1215388,-18861
Shikoku,2013,212706,289794,502501,7846,8477,53838,572662,34203,606865,49009,168728,49929,9903,56945,10635,5703,584,109599,119741,580779,-8117,-1310,0,0,-608,578860,28005
Kyushu,2013,656698,871492,1528190,319,9734,166176,1704420,57340,1761761,113781,754442,103155,38009,172333,32641,17095,24397,290563,295267,1841688,-137267,-4308,,,15320,1852701,-90939
Okinawa,2013,75554,91249,166803,39,,6516,173359,,173359,16581,53205,16339,2735,28897,2384,1622,,20685,25699,168152,5207,,,,1290,169442,3917
Hokkaido,2012,253967,286553,540520,579,2930,35083,579114,,579114,58051,228177,76452,15006,92047,13599,6148,240,86496,121564,697785,-118670,1413,,,,699198,-120083
Tohoku,2012,554538,807620,1362159,167951,5670,94481,1630263,,1630263,131880,555007,119134,40152,212704,32243,15374,113137,266244,197574,1683452,-53189,,,34450,-28488,1689414,-59151
Tokyo,2012,2335119,3040363,5375483,115730,33961,293339,5818515,892369,6710884,345880,2788557,349075,119445,593176,106494,61947,168761,696576,966273,6196188,-377673,-9865,1093,1217784,64,7405265,-694380
Chubu,2012,810260,1444190,2254450,113648,11905,125739,2505742,7402,2513144,182514,1194820,220003,40853,260297,43551,29116,24392,182927,379462,2557940,-52197,-3841,,,-5643,2548456,-35311
Hokuriku,2012,160811,266489,427300,38074,5239,11612,482227,,482227,49645,138425,59297,12121,70970,12081,5507,1813,46031,88532,484424,-2197,-731,,,843,484537,-2310
Kansai,2012,1010697,1343556,2354254,13050,10097,169371,2546773,,2546773,231226,919884,202615,49949,294733,53179,24935,140219,427703,594889,2939336,-392562,-4489,,,-115134,2819712,-272938
Chugoku,2012,406121,586683,992804,41088,26303,87729,1147926,,1147926,114587,366525,107377,24298,102071,20104,11356,1322,218428,220020,1186093,-38167,-2080,1581,,-10999,1174594,-26668
Shikoku,2012,198935,261183,460118,9452,1642,36342,507556,,507556,56913,157407,54677,9482,60322,10879,5057,2770,96706,116838,571054,-63497,2414,,,-19701,553767,-46210
Kyushu,2012,591514,768910,1360424,1214,8656,87284,1457579,,1457579,151844,679722,147924,35581,180180,33420,15004,48153,221429,284278,1797538,-339959,3092,,,-5001,1795629,-338050
Okinawa,2012,70755,86066,156821,,,2729,159550,,159550,16839,51045,17142,2866,23952,2291,1573,,17114,22415,155241,4309,,,,1210,156452,3098
Hokkaido,2011,257115,294026,551142,54047,3498,10114,618803,,618803,58605,170784,101867,13933,99233,14261,7209,232,50482,116884,633495,-14691,4895,,,54956,693347,-74544
Tohoku,2011,534691,758020,1292712,136584,2304,59062,1490664,,1490664,161151,512470,134335,38050,214129,30138,13979,145331,223642,201716,1674945,-184280,-304,,102158,-75889,1700908,-210244
Tokyo,2011,2133427,2620636,4754063,107207,32838,290241,5184351,2517462,7701813,366895,2286944,278876,127232,645547,109321,54697,176805,604089,942300,5592710,-408359,980,1402,2865142,a,8460237,-758423
Chubu,2011,786829,1374777,2161606,48341,7270,97773,2314991,9000,2323991,201396,1040939,216016,36033,271622,44676,26821,38504,169950,346462,2392424,-77433,8338,,17291,574,2418629,-94638
Hokuriku,2011,159350,269399,428750,43687,4363,10183,486984,6000,492984,52202,142376,61935,12515,77537,12655,5598,1139,44863,78441,489264,-2279,3650,,,6715,499630,-6645
Kansai,2011,1008852,1329826,2338679,24061,11456,158071,2532268,,2532268,236029,776842,272524,46331,316990,54933,25353,128925,401448,574902,2834282,-302014,9134,,,-53491,2789925,-257657
Chugoku,2011,402498,577716,980215,52625,26790,68952,1128584,,1128584,111411,319989,100075,25830,111672,20605,11431,4925,196957,205376,1108274,20309,2080,7861,,11762,1129978,-1394
Shikoku,2011,200890,265328,466219,51325,1175,27378,546098,,546098,61611,129254,64093,9613,65264,11354,5750,268,86428,121016,554656,-8557,1817,,,1258,557732,-11633
Kyushu,2011,587251,755431,1342682,3407,6143,62211,1414444,,1414444,167965,520282,176007,32266,202151,33527,15319,25141,180900,289421,1642983,-228538,1216,,,-54771,1589428,-174983
Okinawa,2011,72032,84708,156741,,,1576,158317,,158317,16622,49316,16720,2867,22068,2290,1783,,16873,21715,150257,8059,,,,3008,153266,5050
Hokkaido,2010,250412,280076,530489,4159,5146,8869,548664,,548664,55275,81974,91047,14475,102240,14739,6473,215,39106,118665,524214,24450,4357,,4923,5790,539285,9379
Tohoku,2010,547028,785171,1332200,184671,1849,39279,1558001,,1558001,161826,293084,180635,38797,219545,32689,15778,139405,189147,224234,1495144,62856,-1165,,110616,-13456,1591138,-33136
Tokyo,2010,2167837,2628719,4796557,141368,21112,244496,5203534,,5203534,431184,1482164,412095,124467,655699,111694,56497,201238,502345,955081,4932467,271066,3860,2284,1074205,449268,6462086,-1258552
Chubu,2010,777999,1315179,2093179,12460,2243,86521,2194404,,2194404,228523,678471,202613,36202,266272,46305,25255,53214,154989,371517,2063364,131039,2450,,8647,44094,2118556,75847
Hokuriku,2010,158662,261990,420653,50086,5026,10373,486139,,486139,53855,82478,62922,17271,82598,12910,5528,986,48948,87183,454683,31456,2382,,2397,10022,469486,16653
Kansai,2010,1028943,1318674,2347618,13371,9115,135479,2505584,,2505584,238790,387452,275838,46935,339694,53168,27063,55359,322860,555967,2303130,202454,5470,,36296,57356,2402254,103330
Chugoku,2010,400743,554844,955588,2766,25484,56406,1040245,,1040245,106799,254401,90113,26119,115500,21302,10530,8904,191280,200504,1025457,14788,,12123,6816,-1141,1043256,-3010
Shikoku,2010,204419,258561,462980,46179,1230,25519,535910,,535910,57075,75466,65863,9880,74432,11290,5885,265,65177,127759,493097,42813,,,8811,13196,515105,20805
Kyushu,2010,591498,734561,1326060,4258,5837,60895,1397052,,1397052,162650,284857,175986,32150,197977,33246,15923,245,136817,303091,1342949,54103,,,18325,15334,1376609,20443
Okinawa,2010,69840,79842,149683,,,1840,151524,,151524,16322,41348,16696,2888,21004,2249,1705,43,15785,24239,142284,9240,,,,2367,144651,6872
Hokkaido,2009,247619,270862,518481,1208,1227,8390,529308,,529308,56471,85040,80817,15092,108796,11481,6229,90,38948,113141,516105,13203,3612,,,4211,523928,5379
Tohoku,2009,528168,758595,1286764,193998,848,32450,1514061,,1514061,179116,272240,178806,45401,216761,33083,15504,113118,190860,241455,1486349,27711,-6341,,,13917,1493925,20135
Tokyo,2009,2008615,2495963,4504579,114661,21585,211876,4852702,,4852702,481315,1192617,373974,129599,709837,112908,52596,199595,522888,918755,4694091,158611,-8411,,,64711,4750390,102311
