Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
会社名,年期,3_固定負債,社債,長期借入金,長期未払債務,リース債務,関係会社長期債務,退職給付引当金,使用済燃料再処理等引当金,使用済燃料再処理等準備引当金,災害復旧費用引当金,原子力発電施設解体引当金,原子力発電所運転終了関連損失引当金,災害損失引当金,投資損失引当金,債務保証損失引当金,役員退職慰労引当金,関係会社事業整理損失引当金,債務保証損失引当金2,資産除去債務,繰延税金負債,雑固定負債,4_流動負債,1年以内に期限到来の固定負債,短期借入金,コマーシャルペーパー,買掛金,未払金,未払費用,未払税金,預り金,関係会社短期債務,諸前受金,子会社事業整理損失引当金,関係会社支援引当金,災害復旧費用引当金2,役員賞与引当金,資産除去債務2,5_特別法上の引当金,渇水準備引当金,原子力発電工事償却準備引当金,負債合計,6_株主資本,資本金,資本剰余金,資本準備金,その他資本剰余金,利益剰余金,利益準備金,その他利益剰余金,海外投資等損失準備金,特定災害防止準備金,原価変動調整積立金,泊発電所3号機減価償却積立金,東新潟火力発電所4_2号系列減価償却積立金,別途積立金,繰越利益剰余金,自己株式,7_評価換算差額等,その他有価証券評価差額金,繰延ヘッジ損益,8_新株予約権,資本純資産合計,合計
Hokkaido,2015,1251364,579136,497952,,1695,3246,27237,49333,9205,,,,,,,,,,75926,,7629,351840,153671,52000,,27526,20808,37886,10762,606,30622,17851,,,,,,1022,1022,,1604226,159693,114291,49997,,49997,13588,,13588,,99,,,,,13488,-18184,1171,1171,,,160864,1765091
Tohoku,2015,2491516,760769,1338221,6543,1486,5307,110172,73362,15214,5245,,,,,,,,,117980,,57213,784596,316741,33500,11000,85553,43421,70335,30431,1032,52947,136872,,,373,,1713,,,,3276113,564593,251441,26657,26657,,293663,62860,230803,13,,,,,,230789,-7169,440,3195,-2754,736,565770,3841884
Tokyo,2015,8521224,2913815,1895192,47111,551,13791,356550,923725,73489,,,,474726,,,,,,761653,,222734,2861783,1331763,491495,,230838,117281,382854,95615,4167,177665,24724,,,,,,6103,,6103,11389110,1802889,1400975,743606,743555,50,-334062,169108,-503170,298,131,,,,1076000,-1579601,-7629,-2385,-2385,,,1800504,13189615
Chubu,2015,2525928,429255,1429970,5572,4475,10366,143796,194921,16662,,,10851,,,1789,,,,196644,,81622,1148533,377653,341800,,71336,34341,109270,70298,2794,123415,16609,,,,,,22846,22846,,3697308,1337333,430777,70689,70689,a,836931,93628,743302,8796,12,,,,443000,291493,-1064,30939,36042,-5103,,1368272,5065581
Hokuriku,2015,918464,424987,388873,,3,111,19116,6124,6107,,,,,,,,,,59153,,13988,221867,89973,15000,,18141,23810,43483,5446,361,22770,2878,,,,,,21481,21481,,1161813,291823,117641,33993,33993,,143515,28386,115129,10,,,,,70000,45119,-3327,5340,5325,15,,297163,1458977
Kansai,2015,4350319,1142675,1633895,39596,375,15240,303754,558266,53174,,,,,,,,,,418705,,184633,1312242,609254,130000,,78588,36950,139513,74441,21037,150353,35543,,,,,,28487,28487,,5691049,707970,489320,67031,67031,,247896,33133,214763,134,,,,,,214628,-96278,34074,42408,-8334,,742044,6433093
Chugoku,2015,1803571,834994,758820,6319,,5460,56785,54485,7761,,,,,,,,,,75265,,3678,515106,231171,67035,,36030,26448,59289,21516,1020,50359,20936,,,,,,77991,435,77555,2396669,434477,185527,16728,16676,51,246970,46381,200588,13,57,,,,156000,44518,-14749,9015,9463,-448,,443492,2840161
Shikoku,2015,876480,339972,285620,4009,,,13368,107111,9066,,,,,,,,,,100892,,16437,192202,72087,18000,,16151,6767,32196,5850,1715,34511,4599,,,,,,7625,7625,,1076308,258771,145551,35198,35198,,116268,32819,83449,9,,,,,,83439,-38246,13580,3785,9795,,272352,1348660
Kyushu,2015,3169875,994386,1566188,6190,1943,2364,66556,279585,30009,,,,,,,,,,211447,,11201,758749,351131,114000,,66429,43743,96453,22244,1452,46081,15698,,,,,,7627,7627,,3936251,383985,237304,130396,31087,99309,16723,59326,-42602,15,,,,,,-42618,-439,1205,724,481,,385190,4321442
