Company,Year_term,Operating revenues (M. JPY),Electricity utility operating revenues (M. JPY),Lighting (M. JPY),Power (M. JPY),Sold power to other utilities (M. JPY),Sold power to other suppliers (M. JPY),Revenues from wheeling service (M. JPY),Settlement revenues among utilities (M. JPY),Other electricity utility revenues (M. JPY),Revenues from loaned facilities (M. JPY),Incidental business operating revenues  (M. JPY),Energy facility service business (M. JPY),Heat supply business (M. JPY),Commissioned heat supply business (M. JPY),Steam supply business (M. JPY),Electric water heater lease business (M. JPY),House electrification machinery lease business (M. JPY),Real estate rent business (M. JPY),Air conditioning business (M. JPY),Gas supply business (M. JPY),Optical fiber electric wire lease business (M. JPY),Electric wire lease business (M. JPY),Telecommunication business (M. JPY),Real estate management business (M. JPY),Consulting business (M. JPY),LNG supply business (M. JPY),Facility lease business (M. JPY),Information and communication business (M. JPY),Coal sale business (M. JPY),Fuel sale business (M. JPY),Other incidental business (M. JPY),Non-operating reverues (M. JPY),Financial income (M. JPY),Dividends income (M. JPY),Interest income (M. JPY),Non-operating reverues (M. JPY),Gain on sale of noncurrent assets (M. JPY),Gain on sale of securities (M. JPY),Exchange gain (M. JPY),Miscellaneous revenues (M. JPY),Total interim ordinary income (M. JPY),Total Ordinary revenues (M. JPY),Extraordinary income (M. JPY),Gain on sale of securities (M. JPY),Gain on transfer of business (M. JPY),Retirement benefit plan transition margin (M. JPY),Gain on extinguishment of tie-in shares (M. JPY),Gain on transfer of business2 (M. JPY),Retirement benefit system transition margin 2 (M. JPY),on extinguishment of tie-in shares_2 (M. JPY),Ordinary expenses (M. JPY),Operating expenses (M. JPY),Electricity utility business operating expenses (M. JPY),Hydroelectric power production (M. JPY),Thermal power production (M. JPY),Nuclear power production (M. JPY),Internal combustion engine power production (M. JPY),Renewable power production &c. (M. JPY),Purchased power from other utilities (M. JPY),Purchased power from other suppliers (M. JPY),Transmission (M. JPY),Transformation (M. JPY),Distribution (M. JPY),Selling (M. JPY),Inactive facillites (M. JPY),Cost of loaned facilliteis (M. JPY),General and administrative expenses (M. JPY),Enterprise tax (M. JPY),Electric power development promotion tax2 (M. JPY),Enterprise tax2 (M. JPY),Transferred cost of power for construction &c (M. JPY),Incidental business operating expenses (M. JPY),Energy facility service business (M. JPY),Heat supply business (M. JPY),Commissioned heat supply business (M. JPY),Steam supply business (M. JPY),Air conditioning business (M. JPY),Electric water heater lease business (M. JPY),House electrification machinery lease business (M. JPY),Real estate rent business (M. JPY),Gas supply business (M. JPY),Optical fiber electric wire lease business (M. JPY),Electric wire lease business (M. JPY),Telecommunication business (M. JPY),Real estate management business (M. JPY),Consulting business (M. JPY),LNG supply business (M. JPY),Facility lease business (M. JPY),Information and communication business (M. JPY),Coal sale business (M. JPY),Fuel sale business (M. JPY),Other incidental business (M. JPY),Operating revenues (or loss) (M. JPY),Non-operating expenses (M. JPY),Financial expences (M. JPY),Interest expense (M. JPY),Amortization of stock issue costs (M. JPY),Amortization of bond issue costs (M. JPY),Corporate bond issuance costs (M. JPY),Non-operating expenses (M. JPY),Loss on sale of fixed assets (M. JPY),Loss from securities revaluation (M. JPY),Exchange loss (M. JPY),Loss on business of subsidiaries (M. JPY),Miscellaneous expenses (M. JPY),Total interim recurring expenses (M. JPY),Total Ordinary expenses (M. JPY),Intermediate Ordinary Income or Interim Ordinary Loss (M. JPY),Ordinary income (or loss) (M. JPY),Prov./Rev. of reserve for water level fluctuation (M. JPY),Provision of reserve for fluctuation in water levels (M. JPY),Reversal of reserve for fluctuation in water levels (M. JPY),Provision/Reversal of the depreciation of NPP (M. JPY),Provision for the depreciation of NPP construction (M. JPY),Extraordinary loss (M. JPY),Loss on adjustment for accounting standard changes (M. JPY),Provision for loss on liquidation of affiliates &c. (M. JPY),Loss from securities revaluation (M. JPY),Contingent loss (M. JPY),Impairment loss (M. JPY),Casualty loss (M. JPY),Loss on support to affiliates &c. (M. JPY),Loss on sale of securities (M. JPY),Power plant construction cancellation loss (M. JPY),Net income (or loss) before income taxes (M. JPY),Income taxes (including adjustments) (M. JPY),Income taxes-current (M. JPY),Income taxes for prior periods (M. JPY),Income taxes-deferred (M. JPY),Net income (or loss) (M. JPY),,,,,,,,,,,,,,,,,,,,,,,,,,,,
会社名,年期,14_営業収益,I電気事業営業収益,電灯料,電力料,地帯間販売電力料,他社販売電力料,託送収益,事業者間精算収益,再エネ特措法交付金,電気事業雑収益,貸付設備収益,II附帯事業営業収益,エネルギー設備サービス事業営業収益,熱供給事業営業収益,熱供給受託事業営業収益,蒸気供給事業営業収益,電気温水器賃貸事業営業収益,住宅電化設備賃貸事業営業収益,不動産賃貸事業営業収益,空調事業営業収益,ガス供給事業営業収益,光ファイバ心線貸し事業営業収益,心線賃貸事業営業収益,電気通信事業営業収益,不動産管理事業営業収益,コンサルティング事業営業収益,LNG供給事業営業収益,設備貸付事業営業収益,情報通信事業営業収益,石炭販売事業営業収益,燃料販売事業営業収益,その他附帯事業営業収益,15_営業外収益,Ｉ財務収益,受取配当金,受取利息,II事業外収益,固定資産売却益,有価証券売却益,物品売却益,設備補償金収入,為替差益,雑収益,中間経常収益合計,当期経常収益合計,16_特別利益,原賠廃炉等支援機構資金交付金,原子力損害賠償支援機構資金交付金,固定資産売却益2,有価証券売却益2,退職給付制度改定益,災害損失引当金戻入額,受取保険金,原子力発電所運転終了関連損失引当金戻入額,受取損害賠償金,特別配当金,原子力発電所運転終了関連損失引当金戻入額2,関係会社株式売却益,退職給付信託設定益,特別配当金2,関係会社株式売却益2,受取和解金,事業移転利益,退職給付信託設定益2,受取和解金2,退職給付制度移行差益,抱合せ株式消滅差益,事業移転利益2,退職給付制度移行差益2,抱合せ株式消滅差益2,受取解決金,8_営業費用,I電気事業営業費用,水力発電費,汽力発電費,原子力発電費,内燃力発電費,新エネルギー等発電費,地帯間購入電力料,他社購入電力料,送電費,変電費,配電費,販売費,休止設備費,貸付設備費,一般管理費,再エネ特措法納付金,原子力廃止関連仮勘定償却費,電源開発促進税,事業税,事業税2,電力費振替勘定貸方,II附帯事業営業費用,エネルギー設備サービス事業営業費用,熱供給事業営業費用,熱供給受託事業営業費用,蒸気供給事業営業費用,空調事業営業費用,電気温水器賃貸事業費用,住宅電化設備賃貸事業営業費用,不動産賃貸事業営業費用,ガス供給事業営業費用,光ファイバ心線貸し事業営業費用,心線賃貸事業営業費用,電気通信事業営業費用,不動産管理事業営業費用,コンサルティング事業営業費用,LNG供給事業営業費用,設備貸付事業営業費用,情報通信事業営業費用,石炭販売事業営業費用,燃料販売事業営業費用,その他附帯事業営業費用,営業利益又は営業損益,9_営業外費用,Ｉ財務費用,支払利息,株式交付費,新株発行費等償却,社債発行費償却,社債発行費,II事業外費用,固定資産売却損,有価証券評価損,為替差損,子会社事業損失,雑損失,中間経常費用合計,当期経常費用合計,中間経常利益又は中間経常損失,当期経常利益又は当期経常損失,10_渇水準備金引当又は取崩し渇水準備金引当,渇水準備金引当,渇水準備引当金取崩し貸方,11_原子力発電工事償却準備金引当又は取崩し,原子力発電工事償却準備金引当,12_特別損失,資産除去債務会計基準の適用に伴う影響額,関係会社事業整理損失引当金繰入額,有価証券評価損2,財産偶発損,減損損失,確定拠出年金移行時差異,災害特別損失,関係会社支援損,原子力損害賠償費,有価証券売却損,核燃料加工契約変更損失,使用済燃料中間貯蔵関連損失,福島第一56号機廃止損失,発電所建設中止損失,税引前当期純利益又は税引前当期純損失,13_法人税等調整額を含む,法人税等,過年度法人税等,法人税等調整額,当期純利益又は当期純損失
Hokkaido,2015,695719,695219,291624,346250,142,5033,5328,16,5069,20,500,,,,,,222,141,,,136,,,,,,,,,,,2924,2079,867,1211,845,35,,,809,,698644,,,,,,,,,,659557,659405,24934,201080,78153,7292,2215,581,107907,37402,19078,65263,26489,,3,31390,11115,7284,7284,-32,151,,,,,,71,27,,,52,,,,,,,,,,,36162,17848,16471,16204,,,,1376,7,,,,1369,,677405,,21238,1022,1022,,,,,,,,,,,,,,,3116,1685,,1431,17099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,2015,1868862,1857249,586437,933071,189782,21077,8973,3379,20995,80,11613,,499,,,,,,,11113,,,,,,,,,,,,7511,3446,1483,1962,4064,265,,,3799,,1876374,,,,,,,,,,1712163,1702030,49324,523839,94512,12496,9680,120049,297424,89527,57900,181191,48249,,4,75537,28660,17671,17671,-244,10132,,466,,,,,,,9665,,,,,,,,,,,,156699,44286,32134,31849,,,,12152,55,,,,12096,,1756449,,119924,,,,,,,,,,,,,,,,,39978,11817,,28160,79946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,2015,5896978,5791368,2295394,2941705,122640,59589,98612,347,57552,894,105610,2956,,,,,,7378,,90670,,,,,,,,,,,4605,102211,80015,63084,16931,22195,3986,,,18208,,5999190,760819,,,,,,,,,5556234,5469764,79210,2006712,606312,10472,1720,189988,787073,324840,169602,418522,155918,,749,226450,101802,59385,59385,-237,86469,1750,,,,,,3591,,78184,,,,,,,,,2943,,,340744,115452,87260,87252,,,,28192,405,,,,27787,,5671686,,327503,,,,411,411,911519,,,232857,,678661,,,,,,32754,32754,,,143637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,2015,2648337,2572453,796645,1541213,16836,28056,16507,1611,24674,327,75884,,,,,,,,,72885,,,,,,,,,,,2998,13899,7903,3790,4112,5996,191,,1754,4050,,2662237,10811,,,,,,,,,2383098,2317376,51486,1040040,102564,21,1362,22684,292816,104258,70841,206072,71493,,32,118176,46720,27813,27813,-50,65722,,,,,,,,,62679,,,,,,,,,3042,,,265239,45446,37152,36947,,,,8294,147,,,,8147,,2428545,,233692,12217,12217,,,,,,,,,,,,,,,75077,32289,,42787,157208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,2015,494180,493043,156072,276254,24930,10935,1328,52,3748,8,1136,,520,,,,,,,,,,,,,,608,,,,7,2804,1632,1113,519,1172,47,,,1125,,496984,,,,,,,,,,465391,464658,21709,155110,47751,66,290,2511,61290,27862,14424,42572,15321,,19,24282,10348,5225,5225,-16,733,,328,,,,,,,,,,,,399,,,,5,,,28788,12600,11466,11224,,,,1133,13,,,,1119,,477992,,18992,4807,4807,,,,,,,,,,,,,,,5461,2844,307,2309,8723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,2015,2868293,2806454,1063806,1530231,13510,26063,37667,1178,30259,1212,61838,,,,654,,,,,54056,,,,,,,,,,1131,5996,45054,25835,15471,10364,19218,11827,,,7391,,2913347,,,,,,,,,,2659726,2607794,54341,860083,299651,4075,383,37152,456424,155809,70809,191051,80845,,616,148365,51190,29351,29351,-124,51932,,,,377,,,,,46600,,,,,,,,1067,3886,,,208566,53478,47095,46790,,,,6382,173,,,,6209,,2713205,,200142,19796,19796,,,,,,,,,,,,,,,61805,9086,,52719,118540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,2015,1150514,1116837,382978,587746,4464,36366,6034,3239,11235,,33676,,,,,,,,,,,,,,,30188,,,3488,,,19380,9722,8563,1159,9657,1036,,,8621,,1169894,2743,,,,,,,,,1110851,1078110,22180,327846,52020,2597,184,1434,274219,51950,27247,100984,36390,3537,,68549,22593,10357,10357,-828,32741,,,,,,,,,,,,,29319,,,3422,,,,,39662,27658,22037,21860,,,,5621,72,,,,5549,,1138510,,31384,-499,,-499,4564,4564,,,,,,,,,,,,9037,9104,,-66,21024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,2015,588020,575416,200164,286218,7738,8900,4051,2373,3983,350,12603,,1063,,,1783,,,,8072,,,,,,,,1110,,,573,8601,5577,2729,2848,3024,82,6,2712,223,,596621,,,,,,,,,,573320,563744,12486,133114,72108,241,125,458,150278,31116,14529,52451,20801,,213,26394,9763,5500,5500,-234,9575,,749,,,793,,,,6632,,,,,,774,,,624,,,14699,9958,9125,9056,,,,833,71,,,,762,,583279,,13342,3065,3065,,,,,,,,,,,,,,,4137,-693,,4831,6139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyushu,2015,1705485,1692316,614284,823622,523,18731,13095,4544,13407,349,13169,,,,,,,,2864,9476,,,,,,,,,,,828,18289,15305,11216,4089,2983,,,,2983,,1723775,7408,2455,,,,,,,,1607639,1596132,38922,426610,154731,20808,9082,5357,381468,82837,43567,138527,53087,,31,89300,30852,16150,16150,-136,11506,,,,,,,,2137,9129,,,,,,,,,239,,,97846,41797,37235,37056,,,,4561,77,,,,4483,,1649436,,74338,5934,5934,,,,,,,,,,,,,,,10484,4909,,5574,65328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawa,2015,174286,173211,72781,89259,124,,,,1310,,1074,,,,,,,,,920,,154,,,,,,,,,,688,528,517,10,160,,,,160,,174974,,,,,,,,,,168689,167464,,67088,,14632,305,,25543,7340,4644,15403,5561,116,8,12184,2873,1435,1435,-a,1224,,,,,,,,,1143,,81,,,,,,,,,,5597,2500,2372,2372,,,,128,,,,,128,,171190,,3784,,,,,,,,,,,,,,,,,853,957,,-104,2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,2014,663929,663418,286938,339386,146,3049,1580,24,5484,20,511,,,,,,226,140,,,144,,,,,,,,,,,5060,2540,1303,1237,2519,1727,,,791,,668989,,,,,,,,,,659412,659241,21152,240096,79871,7237,1600,384,110331,33520,17524,56652,24836,,3,28484,11302,6965,6965,-45,170,,,,,,,100,23,,46,,,,,,,,,,,4517,18335,17016,16634,,,188,1319,208,,,,1111,,677748,,-8758,-19391,,-19391,,,,,,,,,,,,,10633,6402,,,6402,4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohoku,2014,1951651,1935225,627624,1007316,203348,13944,5115,3124,20597,83,16425,,515,,,,,,,15910,,,,,,,,,,,,9223,6352,4204,2147,2871,106,,,2764,,1960874,19668,,,,,,,,,1811101,1795950,34820,694586,91576,26665,8954,138968,281681,83006,50427,164923,45833,,5,79922,29053,19015,19015,-238,15150,,437,,,,,,,14713,,,,,,,,,,,,140549,60565,53728,53339,,,389,6836,80,,,,6756,,1871666,,89208,,,,,,,,,,,,,,,,108876,46413,4810,,41602,62462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo,2014,6633706,6497627,2541583,3466257,144114,85348,72440,346,57241,813,136078,2475,,,,,,7210,,121988,,,,,,,,,,,4404,43771,32383,15383,17000,11387,,,,11387,,6677477,883655,,,,,,,,,6354796,6233725,75598,2951513,548661,15190,1152,203782,799658,331463,132041,490624,144238,,721,202320,103294,69382,69382,-124,121071,1595,,,,,,,3352,112671,,,,,,,,,,,3450,278910,155319,99047,99009,,,37,56271,99,,35604,,20567,,6510115,,167362,,,,511,511,616258,,,,,,,,,,434247,7233,7233,,,427013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu,2014,2899026,2800866,869352,1694640,54353,48056,12260,260,26999,329,98160,,,,,,,,,96074,,,,,,,,,,,2085,14054,8835,4168,4667,5218,1675,,,3543,,2913081,28427,,,,,,,,28427,2808183,2709735,50100,1522142,108053,42,1338,23675,264741,102711,75387,232850,63123,,33,108191,47377,32033,32033,-44,98447,,,,,,,,,95345,,,,,,,,,,,3102,90843,62950,49941,49677,,,263,13009,42,,,,12967,,2871133,,41947,5220,5220,,,,,,,,,,,,,,65154,37779,7740,,30039,27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokuriku,2014,513008,511490,162512,282356,29954,18470,1274,38,3782,6,1518,,,655,,,,,,,,,,,,,849,,,,13,3058,1692,1115,576,1366,25,,,1340,,516067,,,,,,,,,,477747,476976,22963,184947,51055,71,640,2195,54007,28187,16450,37744,14374,,6,30902,10476,5651,5651,-2,771,,,340,,,,,,,,,,,,,424,,,,6,35260,20218,15368,15148,,,220,4850,38,,,,4811,,497966,,18100,2688,2688,,,,,,,,,,,,,,15411,8753,4512,,4241,6657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansai,2014,3032435,2950506,1129114,1655047,11973,29694,24364,872,29545,1292,81928,,,,1063,,,,,73433,,,,,,,,,,1232,6199,42276,22997,12052,10945,19278,3207,,,16071,,3074712,,,,,,,,,,3163241,3084476,55311,1359240,298856,7552,374,71500,499607,152945,75366,182244,79881,,661,133725,52653,30684,30684,-386,78764,,,,784,,,,,73050,,,,,,,,,,1164,3764,-130805,71097,50894,50624,,,269,20202,70,,,,20131,,3234338,,-159626,1760,1760,,,,,,,,,,,,,,-161386,15335,-6193,,21528,-176721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugoku,2014,1221848,1170805,411879,635207,9018,40207,4988,2163,11294,,51043,,,,1477,,,,,,,,,,,46424,,,3141,,,17425,9340,8103,1237,8085,340,,,7744,,1239274,,,,,,,,,,1161352,1111076,22360,443464,47851,3632,550,1370,252915,50187,28042,95081,33386,3362,,60097,22903,11736,11736,-839,50276,,,,1477,,,,,,,,,,,45712,,,3086,,,60495,28042,23110,22802,,,307,4932,234,,,,4697,,1189395,,49879,566,566,,1882,1882,,,,,,,,,,,47430,17123,539,,16584,30306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
