Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Hokkaido,2015,150663,150663,,,225185,130000,95185,,,,81362,375848,156847,107463,85003,343,,22116,49383,,,219001,80000,79732,139269,,,,129269,,,,375848
Tohoku,2015,290939,290939,,,594376,217481,376895,,,,346502,885315,374910,334658,223011,214,,111432,40252,,,510405,180000,180565,329840,,,,309840,,,,885315
Tokyo,2015,654422,654422,,,1451019,438100,1012919,,,,777417,2105441,1051522,675638,603775,-37,,71901,375883,,,1053919,17722,17714,1036205,,,,641090,,,,2105441
Chubu,2015,244072,244072,,,971489,172050,799439,,,,731800,1215561,564966,387573,239356,204,0,148013,177393,0,0,650595,60000,59795,590800,,,,570800,,,,1215561
Hokuriku,2015,97971,97971,,,83689,60000,23689,,,,17500,181661,50918,48205,63696,6,0,-15497,2712,0,0,130743,70000,69743,61000,,,,51000,,,,181661
Kansai,2015,253416,253416,,,832733,230000,602733,,,,561560,1086150,632455,404365,281975,304,,122085,228090,,,453695,100000,99695,354000,,,,334000,,,,1086150
Chugoku,2015,185957,185957,,,453951,55000,398951,,,,376055,639908,221515,115878,94290,179,,21408,105637,,,418392,50000,49822,368570,,,,338570,,,,639908
Shikoku,2015,81270,81270,,,68082,10000,58082,,,,56000,149352,73421,68213,55298,68,,12845,5207,,,75931,20000,19931,56000,,,,56000,,,,149352
Kyushu,2015,284090,284090,,,458205,219360,238845,,,,199030,742295,432474,269464,167024,0,0,102440,163010,0,0,309821,60000,59821,250000,,,,220000,,,,742295
Okinawa,2015,17647,17647,,,137213,10000,127213,,,,113000,154860,30260,28343,26143,311,,1888,1917,,,124600,,,124600,,,,114600,,,,154860
Hokkaido,2014,118415,118415,,,160394,35000,125394,,,,116215,278810,119110,76191,87742,528,,-12078,-6887,50000,49806,159699,60000,59811,99888,,,,91888,,,,278810
Tohoku,2014,235997,235997,,,608165,352490,255675,,,,228194,844162,426552,340335,203525,399,,136410,86216,,,417610,120000,119610,298000,,,,264000,,,,844162
Tokyo,2014,571047,571047,,,1029804,446400,583404,,,,534197,1600852,1174572,696914,605586,-37,,91365,477657,,,426279,99685,99647,326632,,,,285812,,,,1600852
Chubu,2014,216580,216580,,,1059950,282800,777150,,,,746315,1276530,560993,302646,253824,263,0,48559,258347,0,0,715537,80000,79737,635800,,,,620800,,,,1276530
Hokuriku,2014,115722,115722,,,134187,108200,25987,,,,18194,249909,120942,118992,66830,15,,52146,1950,,,128967,65000,64767,64200,,,,54200,,,,249909
Kansai,2014,299800,299800,,,750446,150000,600446,,,,554700,1050246,379516,193256,298335,269,,-105349,186260,,,670730,100000,99730,571000,,,,551000,,,,1050246
Chugoku,2014,146271,146271,,,476049,140000,336049,,,,313582,622321,41558,135641,97346,310,,37984,-94082,,,580762,170000,169692,411070,,,,401070,,,,622321
Shikoku,2014,59584,59584,,,93872,60000,33872,,,,31750,153456,85840,78267,55788,134,,22345,7573,,,67615,40000,39865,27750,,,,22750,,,,153456
Kyushu,2014,228362,228362,,,294575,100000,194575,,,,175485,522937,44366,32114,164721,0,0,-132607,-87345,100000,99597,478571,140000,139571,339000,,,,294000,,,,522937
Okinawa,2014,24461,24461,,,191946,5000,186946,,,,170976,216407,26425,31678,27315,143,,4219,-5253,,,189982,5000,4982,185000,,,,175000,,,,216407
Hokkaido,2013,137923,137923,,,163853,85000,78853,,,,71676,301777,-25037,-4847,89784,381,,-95013,-20190,,,326815,110000,109698,217117,,,,176117,,,,301777
Tohoku,2013,231843,231843,,,393639,204100,189539,,,,164415,625482,144078,226505,229905,414,,-3813,-82427,,,481403,110000,109603,371800,,,,331800,,,,625482
