Company,Year_term,Electricity consumed_Total Lighting (MWh),Electricity consumed_Meter rate lighting A/B (MWh),Electricity consumed_Total Power (MWh),Electricity consumed_Low voltage power (MWh),Electricity consumed_Total of Lighting and Power (MWh),Electricity consumed_Specific scale demands (MWh),Electricity consumed_Specific scale demands/commercial (MWh),Electricity consumed_Specific scale demands/industrial (MWh),Electricity consumed_Total Electricity sales (MWh),Year-on-year_Total Lighting (%),Year-on-year_Total Power (%),Year-on-year_Low voltage power (%),Year-on-year_Total of Lighting and Power (%),Year-on-year_Specific scale demands (%),Year-on-year_Specific scale demands/commercial (%),Year-on-year_Specific scale demands/industrial (%),Year-on-year_Total Electricity sales (%)
会社名,年期,使用電力量_電灯合計,使用電力量_従量電灯AB,使用電力量_電力計,使用電力量_低圧電力,使用電力量_電灯電力計,使用電力量_特定規模需要,使用電力量_特定規模需要業務用,使用電力量_特定規模需要産業用,使用電力量_販売電力合計,前年比_電灯計,前年比_電力計,前年比_低圧電力,前年比_電灯電力合計,前年比_特定規模需要,前年比_特定規模需要業務用,前年比_特定規模需要産業用,前年比_販売電力計
Hokkaido,201603,1085576,610152,337581,95403,1423157,1264144,651723,612421,2687301,111.5,125.1,111.2,114.5,94.5,95.4,93.6,104.1
Tohoku,201603,2502717,1406246,345915,248025,2848632,4044861,1320507,2724354,6893493,101,100.4,100,100.9,98.7,99.3,98.4,99.6
Tokyo,201603,8720733,5836089,839505,713754,9560238,11854161,4765210,7088951,21414398,103.4,101.1,101.5,103.2,94.8,93.6,95.6,98.4
Chubu,201603,3150216,1819760,485025,367500,3635241,6951105,1718637,5232468,10586346,103,100.3,101.4,102.6,99.6,100.1,99.5,100.6
Hokuriku,201603,870637,310986,109798,83343,980435,1545423,424497,1120926,2525858,101.7,98.7,98.9,101.4,98.8,97.3,99.4,99.8
Kansai,201603,4149768,2526900,441809,381588,4591577,6186172,2227121,3959051,10777749,101.7,100.5,101,101.6,92.3,91.1,93,96
Chugoku,201603,1794108,892482,194791,150280,1988899,3046117,863824,2182293,5035016,102.9,100.2,101.2,102.6,99.2,99,99.4,100.5
Shikoku,201603,884878,475388,139564,96225,1024442,1254769,456517,798252,2279211,99.9,97.1,98.3,99.5,97.6,95.5,98.9,98.5
Kyushu,201603,2680296,1417486,412704,349219,3093000,3727139,1412307,2314832,6820139,100.8,100,99.6,100.7,97.7,98,97.5,99
Okinawa,201603,221384,180368,216323,22466,437707,88000,45522,42478,525707,108,103.9,104.7,105.9,95.7,102.6,89.4,104.1
Hokkaido,201602,1063701,589670,357769,89907,1421470,1320618,697158,623460,2742088,96.6,101.2,96.7,97.7,94.7,92.7,97.1,96.2
Tohoku,201602,2629860,1473442,398665,264444,3028525,4153956,1443654,2710302,7182481,104.3,104.9,103.1,104.4,100,98.9,100.6,101.8
Tokyo,201602,9837787,6631981,937736,803598,10775522,12230524,5168897,7061627,23006046,100.7,98.4,98.8,100.5,94.9,92.7,96.6,97.5
Chubu,201602,3390682,1967904,510650,394872,3901332,6937572,1849923,5087649,10838904,95.1,92.3,93.3,94.7,99.9,99.5,100.1,98
Hokuriku,201602,948328,341892,124359,92200,1072687,1528221,443471,1084750,2600908,99.1,96.7,97.1,98.8,102.3,103.1,102,100.8
Kansai,201602,4443248,2725556,468116,406866,4911364,6258346,2368398,3889948,11169710,93.9,92.4,92.8,93.7,93.6,90.9,95.4,93.7
Chugoku,201602,1970572,988449,207951,162672,2178523,3097000,937259,2159741,5275523,101.7,98.1,99.4,101.4,101.9,99.4,103,101.7
